copies_mL,Temperature,Salinity,DO_mgL,pH,Chl_a,DOC,TDN,TOC,TN,Ammonium,NO2NO3,Nitrite,Orthophosphate,Silicate,DIN,DON,DIN_DIP,cfu_tot,cfu_gre,cfu_yel,Vv,Vp,Va,Vc,tot_bacteria,tss,VAI,dust,dust_lag
-1841.7886765773196,0.09999999999999787,1.5900000000000034,0.02999999999999936,0.23000000000000043,2.075,204.64999999999998,-8.25,154.60000000000002,-2.5,0.008499999999999952,-0.010499999999999982,0.063,0.04200000000000001,-2.9085000000000036,-0.0020000000000000018,-8.248000000000005,-13.22296516458686,-80.00000000000003,3.3333333333333997,-83.333333333333,6.44018537932538,0,0,0,-974900.8488016239,22.3727272727277,3.411977675028199e-4,0,-0.04000000000000001
-2484.1529264950905,0.10000000000000142,-1.1400000000000006,-0.5999999999999996,-0.21000000000000085,-1.8849999999999998,-111.35000000000002,1.6000000000000014,-165.85000000000002,1.75,0.5375000000000001,-0.016000000000000014,-0.048,0.2395,-0.9759999999999991,0.5215000000000001,1.0785000000000053,-4.04441603835933,370,43.3333333333333,326.666666666667,-4.86303693348855,0,2.04769521747211,0,-455849.426382764,-41.1000000000004,-6.1007188712727e-4,0.03,0
563.3429399936301,0.3000000000000007,1.8799999999999955,0.8399999999999999,0.2400000000000002,1.1199999999999992,-47.450000000000045,0.5500000000000043,-21.899999999999977,4.75,-0.11050000000000004,0.012500000000000011,0.027499999999999997,-0.269,-7.906000000000006,-0.09800000000000009,0.6479999999999961,22.51285631606839,-583.3333333333337,-103.33333333333333,-480.00000000000034,2.90515070224441,0.77031122570828,10.73144192522192,0,594006.597196228,30.846153846153797,-2.3375185470673e-4,-0.04000000000000001,-0.010000000000000009
1933.9709877503701,-0.10000000000000142,-1.2299999999999969,-1.5999999999999996,-0.41999999999999993,0.6400000000000006,-30.84999999999991,6.399999999999999,-7.149999999999977,1.1499999999999915,0.025000000000000022,-0.0345,0.007000000000000006,-0.019000000000000003,-0.29750000000001364,-0.009499999999999953,6.409500000000001,77.18952528379809,213.3333333333337,46.66666666666663,166.66666666666634,-3.45572208648019,-0.77031122570828,-12.779137142694031,20.3020734790911,-328957.28186599596,-10.179487179486998,0.0011935747934758803,-0.03,0
611.1034342850894,0.3000000000000007,1.5600000000000023,-0.41000000000000014,0.5099999999999998,1.2650000000000006,-6.600000000000023,1.3999999999999986,56.25,14.350000000000009,0.8795,0.10350000000000001,-0.07150000000000001,0.04850000000000001,2.853499999999997,0.983,0.4170000000000016,-75.24657987571159,-180.00000000000028,-26.6666666666666,-153.333333333333,1.1007619533254902,0,0,-20.3020734790911,83753.93647969095,-11.966666666666601,1.026495067742298e-4,0.14,-0.03
-1506.3489784658395,0.1999999999999993,0.10999999999999943,-0.18000000000000016,-0.41999999999999993,-1.245000000000001,10.049999999999955,-5.549999999999997,-19.100000000000023,-17.549999999999997,1.0739999999999998,-0.027000000000000024,0.020500000000000004,0.069,1.3480000000000132,1.047,-6.597000000000001,-6.4581079616575,220.00000000000034,66.6666666666666,153.333333333333,-0.9966389376081601,0,1.64651718808661,0,139382.95577084506,-7.8000000000001,-8.368159808036998e-4,-0.03,0.14
-401.73605345610986,-0.1999999999999993,-1.25,0.31000000000000005,0.28999999999999915,2.0150000000000006,-6.5,1.5,-25.149999999999977,-3,-1.0449999999999997,0.015500000000000014,0.0605,-0.019000000000000017,3.2620000000000005,-1.0294999999999999,2.5294999999999987,-5.217637105423002,113.33333333333297,99.9999999999997,13.333333333333997,-0.669010134958261,0,-1.64651718808661,32.0811084011202,-962617.9996752855,70.09999999999971,0.01710598370603646,0,-0.03
2875.2588501675596,-0.5,1.509999999999998,-0.8499999999999999,-0.22999999999999954,-4.73,-64.69999999999993,-1.25,-68.45000000000005,-0.9000000000000057,-0.9191250000000001,1.79575,0.05425000000000001,1.440375,-69.546625,0.876625,-2.126624999999997,-14.32850019495197,436.66666666666697,239.99999999999997,196.66666666666598,3.365244952406211,0,0,-32.0811084011202,891928.8460395075,-38.8181818181815,-0.01600604850236292,0.3999999999999999,0
-3069.91400099654,0.3000000000000007,0.5700000000000003,1.4999999999999998,0.010000000000000675,5.525,70.69999999999993,2.6999999999999957,63.85000000000002,6.700000000000003,0.34562499999999996,-1.85275,-0.0027500000000000024,-1.512875,69.642125,-1.507125,4.207124999999998,26.34356660680097,-409.99999999999994,-286.66666666666595,-123.33333333333297,1.6349163802980495,2.35693624851246,0,0,445288.14083324804,47.6931818181817,-0.0015467056397633302,-0.019999999999999907,0.3999999999999999
5102.013705052901,0.1999999999999993,0.060000000000002274,-0.25,0.16999999999999993,2.5150000000000006,0.14999999999997726,3.6000000000000014,53.94999999999993,8.599999999999994,0.06400000000000006,0.003500000000000003,-0.018000000000000016,-0.024,1.5955000000000155,0.0674999999999999,3.532499999999999,34.6304783451842,6.666666666665947,6.6666666666660035,0,-3.1452313168454697,-2.35693624851246,1.5513015856711898,0,-1308034.6877905296,-45.074999999999804,0.03517652768663295,0,-0.019999999999999907
-51.73937481889061,0,0.0799999999999983,0.4200000000000004,-0.3100000000000005,-1.2100000000000009,-10.299999999999955,-7.399999999999999,-45.049999999999955,-15.849999999999994,0.12549999999999994,0.01999999999999999,-0.01949999999999999,0.059500000000000004,0.444500000000005,0.14549999999999996,-7.545499999999997,-43.8132386541821,-233.33333333333297,-113.333333333333,-120,-2.3166199582189098,0,-1.5513015856711898,0,3598650.724036129,37.825,-0.03500835441310382,-0.38,0
