copies_mL,Temperature,Salinity,DO_mgL,pH,Chl_a,DOC,TDN,TOC,TN,Ammonium,NO2NO3,Nitrite,Orthophosphate,Silicate,DIN,DON,DIN_DIP,cfu_tot,cfu_gre,cfu_yel,Vv,Vp,Vc,tot_bacteria,tss,VAI,dust,dust_lag
556.9825442000761,0.1999999999999993,1.230000000000004,0.05999999999999961,0.15999999999999925,-0.09999999999999964,159.40000000000003,-4.75,348.25,-6.450000000000003,0.020000000000000018,-0.003500000000000003,-0.03799999999999999,0.08700000000000002,-3.0280000000000005,0.016500000000000015,-4.766500000000001,-0.20202394138084,-206.66666666666697,-80,-126.666666666667,4.6928854892537,1.366236713938743,0,-778819.2290478378,21.533333333333204,0.003404005802943942,0,-0.04000000000000001
143.39719442543094,-0.1999999999999993,-1.2600000000000051,0.10000000000000053,0.009999999999999787,1.1099999999999999,-33.5,-1.1500000000000004,-203.60000000000002,-0.8499999999999979,0.8879999999999999,0.02100000000000002,0.017499999999999988,-0.04799999999999999,-0.09999999999999964,0.909,-2.059000000000001,2.3751423875677,60,33.33333333333297,26.666666666667,-2.2079569624113304,0.9347741334670099,0,90827.1954566088,-37.4156862745098,-0.00155439076860506,0.03,0
-636.990495744016,0.3000000000000007,1.220000000000006,-0.10000000000000053,0.07000000000000028,-0.3599999999999999,-115.35000000000002,-1.6500000000000004,-108.55000000000001,0.8499999999999979,-0.7789999999999999,0.0040000000000000036,0.035500000000000004,-0.05650000000000005,-1.3759999999999994,-0.775,-0.875,-1.68116781155526,-140,-133.33333333333297,-6.666666666666998,-0.8108271668890796,-1.7474236843351398,0,-139612.84520777938,47.4656862745099,6.6530239022067e-4,-0.04000000000000001,-0.010000000000000009
11596.422995593013,0,-1.3500000000000014,-0.09999999999999964,-0.21999999999999975,0.25,-29.650000000000006,1.0500000000000007,-59.75,2.400000000000002,0.4395,-0.012500000000000011,-0.03899999999999999,0.07950000000000002,-3.6640000000000006,0.42699999999999994,0.6230000000000011,0.6705261854342,413.33333333333303,113.333333333333,300,-1.353806592680105,0.41646259159046006,0,180957.14112701238,35.4999999999997,0.01951413534517456,-0.03,0
1130.8357316166002,-1.1000000000000014,1.0899999999999963,0.2699999999999996,0.33000000000000096,1.4099999999999997,15,6,66.80000000000001,8.8,0.2945,0.14049999999999999,0.14200000000000002,0.13200000000000006,-5.141,0.43500000000000005,5.5649999999999995,0.2281113166124098,-613.333333333333,-213.333333333333,-400,2.425081388763085,-0.09558921954242017,0,608410.5140589221,-44.8833333333331,-0.01592886450353724,0.14,-0.03
11575.4917705128,-0.6999999999999993,-0.030000000000001137,0.3600000000000003,-0.4300000000000006,-0.5350000000000001,-41.44999999999999,-3.5,-28.19999999999999,-0.05000000000000071,0.7150000000000001,-0.16349999999999998,-0.17400000000000002,-0.22350000000000003,-0.30800000000000005,0.5514999999999999,-4.051500000000001,3.39627637424095,280,120,160,-1.30826941922148,-1.1602204660595599,0,-569628.291827827,-18.4999999999999,0.03252841686195304,-0.03,0.14
3103.988058904102,-0.5,-1.1599999999999966,-0.5099999999999998,0.29000000000000004,0.7250000000000005,29.94999999999999,-3.1999999999999993,53.19999999999999,-11.5,0.363,0.04099999999999998,0.0905,0.09349999999999997,2.2929999999999997,0.40400000000000036,-3.603999999999999,-0.37752315307257955,1210,600,610,1.9867856964933,1.12255197773271,0,1089360.865510198,37.8,-0.03064735372535421,0,-0.03
-9614.4702163461,-0.6000000000000014,1.0399999999999991,0.08999999999999986,-0.25,-1.6300000000000003,-21.19999999999999,2.5999999999999996,14.900000000000006,11,-0.7033750000000001,0.015875,-0.016375,0.008624999999999994,-0.28049999999999997,-0.6875000000000002,3.2874999999999996,-1.6843364140230905,-456.6666666666699,-386.666666666667,-70,-1.502417821132,0.4004395497667299,0,686206.11044715,20.125,-0.004575573416603621,0.3999999999999999,0
-693.7983889284988,0.6000000000000014,0.4399999999999977,-0.08999999999999986,-0.04999999999999982,1.06,9.399999999999991,1.1500000000000004,-48.5,-0.9499999999999993,-0.465125,-0.030374999999999985,-0.08612499999999998,0.042874999999999996,6.6785,-0.49550000000000005,1.6455000000000002,-1.36027482637446,410,206.66666666666703,203.33333333333303,-0.4760075283393197,-1.52299152749944,27.3575296140511,-704244.85269624,18.517857142856997,0.0016426430745635698,-0.019999999999999907,0.3999999999999999
20015.0854639758,0.8000000000000007,0.060000000000002274,-0.1299999999999999,-0.1800000000000006,1.0199999999999996,81.8,2.5,395.6,-1.7000000000000028,0.504,0.07799999999999999,0.10949999999999999,0.10100000000000003,5.7265,0.5820000000000001,1.9179999999999993,0.5334062778297,-543.3333333333301,33.33333333333303,-576.6666666666661,-1.44546708383677,1.47144426396817,-27.3575296140511,-175945.9510638502,-32.517857142857,0.0076048597350232595,0,-0.019999999999999907
-10441.373585327201,0.1999999999999993,0.060000000000002274,-0.010000000000000675,0.03000000000000025,1.6050000000000004,-103.3,-5.850000000000001,-431.15,-7.799999999999997,-0.125,-0.08299999999999999,-0.0885,-0.20500000000000002,-1.2940000000000005,-0.20799999999999996,-5.6419999999999995,2.3312592519049797,200,180,20,3.60105636556779,-1.47144426396817,27.224298424706898,533209.44920707,33.946428571428996,-0.006469384447992669,-0.38,0
