Well,Fluor,Target,Content,Sample,Cq,SQ
G03,SYBR,,Unkn,BO_5_11,NaN,NaN
G05,SYBR,,Unkn,C2_5_11,NaN,NaN
G06,SYBR,,Unkn,C2_5_11,NaN,NaN
G07,SYBR,,Unkn,C2_5_11,NaN,NaN
G09,SYBR,,Unkn,RD_5_11,NaN,NaN
G10,SYBR,,Unkn,RD_5_11,NaN,NaN
G11,SYBR,,Unkn,RD_5_11,NaN,NaN
G14,SYBR,,Unkn,BO_5_11i,31.12434825,NaN
G15,SYBR,,Unkn,BO_5_11i,30.85693841,NaN
G16,SYBR,,Unkn,BO_5_11i,30.86303825,NaN
G18,SYBR,,Unkn,C2_5_11i,30.63325757,NaN
G19,SYBR,,Unkn,C2_5_11i,30.61918389,NaN
G20,SYBR,,Unkn,C2_5_11i,30.59503885,NaN
G22,SYBR,,Unkn,RD_5_11i,30.42499185,NaN
G23,SYBR,,Unkn,RD_5_11i,30.48659352,NaN
G24,SYBR,,Unkn,RD_5_11i,30.35010338,NaN
H01,SYBR,,Unkn,BO_10,32.91608926,NaN
H02,SYBR,,Unkn,BO_10,34.19792983,NaN
H03,SYBR,,Unkn,BO_10,33.38747615,NaN
H05,SYBR,,Unkn,C2_10,NaN,NaN
H06,SYBR,,Unkn,C2_10,NaN,NaN
H07,SYBR,,Unkn,C2_10,NaN,NaN
H09,SYBR,,Unkn,RD_10,NaN,NaN
H10,SYBR,,Unkn,RD_10,NaN,NaN
H11,SYBR,,Unkn,RD_10,NaN,NaN
H14,SYBR,,Unkn,BO_10i,30.63151752,NaN
H15,SYBR,,Unkn,BO_10i,30.55649529,NaN
H16,SYBR,,Unkn,BO_10i,30.78982338,NaN
H18,SYBR,,Unkn,C2_10i,30.42470812,NaN
H19,SYBR,,Unkn,C2_10i,30.36101759,NaN
H20,SYBR,,Unkn,C2_10i,30.47461368,NaN
H22,SYBR,,Unkn,RD_10i,30.40350526,NaN
H23,SYBR,,Unkn,RD_10i,30.29655916,NaN
H24,SYBR,,Unkn,RD_10i,30.59827841,NaN
I01,SYBR,,Unkn,BO_5_20,37.76550712,NaN
I02,SYBR,,Unkn,BO_5_20,NaN,NaN
I03,SYBR,,Unkn,BO_5_20,36.28300256,NaN
I05,SYBR,,Unkn,C2_5_20,NaN,NaN
I06,SYBR,,Unkn,C2_5_20,NaN,NaN
I07,SYBR,,Unkn,C2_5_20,NaN,NaN
I09,SYBR,,Unkn,RD_5_20,NaN,NaN
I10,SYBR,,Unkn,RD_5_20,NaN,NaN
I11,SYBR,,Unkn,RD_5_20,NaN,NaN
I14,SYBR,,Unkn,BO_5_20i,30.84405983,NaN
I15,SYBR,,Unkn,BO_5_20i,30.55767489,NaN
I16,SYBR,,Unkn,BO_5_20i,30.79683898,NaN
I18,SYBR,,Unkn,C2_5_20i,30.49564927,NaN
I19,SYBR,,Unkn,C2_5_20i,30.55132498,NaN
I20,SYBR,,Unkn,C2_5_20i,30.49761706,NaN
I22,SYBR,,Unkn,RD_5_20i,30.49988288,NaN
I23,SYBR,,Unkn,RD_5_20i,30.33163026,NaN
I24,SYBR,,Unkn,RD_5_20i,30.42246372,NaN
J01,SYBR,,Unkn,BO_11,NaN,NaN
J02,SYBR,,Unkn,BO_11,NaN,NaN
J03,SYBR,,Unkn,BO_11,NaN,NaN
J05,SYBR,,Unkn,C2_11,NaN,NaN
J06,SYBR,,Unkn,C2_11,NaN,NaN
J07,SYBR,,Unkn,C2_11,NaN,NaN
J09,SYBR,,Unkn,RD_11,NaN,NaN
J10,SYBR,,Unkn,RD_11,40.26254185,NaN
J11,SYBR,,Unkn,RD_11,NaN,NaN
J14,SYBR,,Unkn,BO_11i,30.55559018,NaN
J15,SYBR,,Unkn,BO_11i,30.47245815,NaN
J16,SYBR,,Unkn,BO_11i,30.53684467,NaN
J18,SYBR,,Unkn,C2_11i,30.48574738,NaN
J19,SYBR,,Unkn,C2_11i,30.56505772,NaN
J20,SYBR,,Unkn,C2_11i,30.51561425,NaN
J22,SYBR,,Unkn,RD_11i,30.56996445,NaN
J23,SYBR,,Unkn,RD_11i,30.48069382,NaN
J24,SYBR,,Unkn,RD_11i,30.4630388,NaN
K01,SYBR,,Unkn,BO_5_24,36.48837494,NaN
K02,SYBR,,Unkn,BO_5_24,36.41996713,NaN
K03,SYBR,,Unkn,BO_5_24,35.25607292,NaN
K05,SYBR,,Unkn,C2_5_24,NaN,NaN
K06,SYBR,,Unkn,C2_5_24,NaN,NaN
K07,SYBR,,Unkn,C2_5_24,NaN,NaN
K09,SYBR,,Unkn,RD_5_24,NaN,NaN
K10,SYBR,,Unkn,RD_5_24,NaN,NaN
K11,SYBR,,Unkn,RD_5_24,NaN,NaN
K14,SYBR,,Unkn,BO_5_24i,30.74440621,NaN
K15,SYBR,,Unkn,BO_5_24i,30.70480322,NaN
K16,SYBR,,Unkn,BO_5_24i,30.5072642,NaN
K18,SYBR,,Unkn,C2_5_24i,30.52838118,NaN
K19,SYBR,,Unkn,C2_5_24i,30.34240149,NaN
K20,SYBR,,Unkn,C2_5_24i,30.51635129,NaN
K22,SYBR,,Unkn,RD_5_24i,30.59188267,NaN
K23,SYBR,,Unkn,RD_5_24i,30.38423297,NaN
K24,SYBR,,Unkn,RD_5_24i,30.44431495,NaN
L01,SYBR,,Unkn,BO_12,NaN,NaN
L02,SYBR,,Unkn,BO_12,NaN,NaN
L03,SYBR,,Unkn,BO_12,NaN,NaN
L05,SYBR,,Unkn,C2_12,NaN,NaN
L06,SYBR,,Unkn,C2_12,NaN,NaN
L07,SYBR,,Unkn,C2_12,NaN,NaN
L09,SYBR,,Unkn,RD_12,37.38480102,NaN
L10,SYBR,,Unkn,RD_12,NaN,NaN
L11,SYBR,,Unkn,RD_12,NaN,NaN
L14,SYBR,,Unkn,BO_12i,30.51504736,NaN
L15,SYBR,,Unkn,BO_12i,30.40122222,NaN
L16,SYBR,,Unkn,BO_12i,30.53560733,NaN
L18,SYBR,,Unkn,C2_12i,30.6941636,NaN
L19,SYBR,,Unkn,C2_12i,30.48932208,NaN
L20,SYBR,,Unkn,C2_12i,30.56332907,NaN
L22,SYBR,,Unkn,RD_12i,30.74840473,NaN
L23,SYBR,,Unkn,RD_12i,30.47977721,NaN
L24,SYBR,,Unkn,RD_12i,30.63145577,NaN
P01,SYBR,,NTC,,NaN,NaN
P02,SYBR,,NTC,,NaN,NaN
P03,SYBR,,NTC,,NaN,NaN
P22,SYBR,,Pos Ctrl,,32.1497334,NaN
P23,SYBR,,Pos Ctrl,,32.19364353,NaN
P24,SYBR,,Pos Ctrl,,33.33176201,NaN
