date,Vv,site,Vp,Va,Vc
2022-07-11,4.550000000000001,BO,3.3600000000000003,3.541666666666667,285
2022-07-12,18.84904887769674,BO,6.720000000000001,7.083333333333334,570
2022-07-13,9.1,BO,6.720000000000001,7.083333333333334,570
2022-07-14,42.69765729879967,BO,6.720000000000001,7.083333333333334,1329.101807128137
2022-07-15,35.537308563756774,BO,6.720000000000001,7.083333333333334,1706.172083610361
2022-07-16,206.38202904774596,BO,11.2,11.805555555555555,5108.065635145911
2022-07-17,151.52741582414424,BO,11.2,11.805555555555555,7554.677484565291
2022-07-18,146.04879629314607,BO,11.2,11.805555555555555,1692.6028882046026
2022-07-19,113.49334787166728,BO,11.2,11.805555555555555,950
2022-07-07,21.0513278520932,BO,3.3600000000000003,3.541666666666667,285
2022-07-08,17.992709396848078,BO,3.3600000000000003,3.541666666666667,1313.9178582555414
2022-07-09,4.550000000000001,BO,3.3600000000000003,3.541666666666667,784.3936149932385
2022-07-11,4.937299148081239,C2,1.1063112257082832,16.320803809360658,5.7
2022-07-12,1.481577061601045,C2,0.336,3.541666666666667,26.00207347909106
2022-07-13,2.5823390149265393,C2,0.336,3.541666666666667,5.7
2022-07-14,1.5857000773183751,C2,0.336,5.188183854753282,5.7
2022-07-15,0.9166899423601192,C2,0.336,3.541666666666667,37.78110840112015
2022-07-16,4.281934894766327,C2,0.336,3.541666666666667,5.7
2022-07-17,5.916851275064383,C2,2.69293624851246,3.541666666666667,5.7
2022-07-18,2.771619958218907,C2,0.336,5.092968252337859,5.7
2022-07-19,0.45500000000000007,C2,0.336,3.541666666666667,5.7
2022-07-07,0.45500000000000007,C2,0.336,3.541666666666667,5.7
2022-07-08,6.895185379325382,C2,0.336,3.541666666666667,5.7
2022-07-09,2.0321484458368255,C2,0.336,5.589361884138785,5.7
2022-07-11,2.129101359953287,RD,1.175347094011524,3.541666666666667,5.7
2022-07-12,0.7752947672731847,RD,1.59180968560198,3.541666666666667,5.7
2022-07-13,3.200376156036266,RD,1.496220466059561,3.541666666666667,5.7
2022-07-14,1.892106736814785,RD,0.336,3.541666666666667,5.7
2022-07-15,3.8788924333080943,RD,1.4585519777327138,3.541666666666667,5.7
2022-07-16,2.3764746121760947,RD,1.8589915274994415,3.541666666666667,5.7
2022-07-17,1.9004670838367703,RD,0.336,3.541666666666667,33.05752961405113
2022-07-18,0.45500000000000007,RD,1.8074442639681667,3.541666666666667,5.7
2022-07-19,4.056056365567789,RD,0.336,3.541666666666667,32.924298424706905
2022-07-07,0.45500000000000007,RD,0.6217599309409066,3.541666666666667,5.7
2022-07-08,5.147885489253699,RD,1.9879966448796491,3.541666666666667,5.7
2022-07-09,2.93992852684237,RD,2.92277077834666,3.541666666666667,5.7
2022-10-18,0.7583333333333335,BO,0.56,5.902777777777779,961.7854642208666
2022-11-15,1.516666666666667,BO,1.12,72.8974418271284,19
2022-12-14,0.7583333333333335,BO,0.56,5.902777777777779,9.5
2022-02-16,0.45500000000000007,BO,0.336,3.541666666666667,7.666280902187254
2022-03-09,0.45500000000000007,BO,0.336,3.541666666666667,5.7
2022-04-20,0.45500000000000007,BO,0.336,3.541666666666667,5.7
2022-05-11,0.45500000000000007,BO,0.336,3.541666666666667,5.7
2022-05-20,0.45500000000000007,BO,0.336,3.541666666666667,34.4037122131012
2022-05-24,0.45500000000000007,BO,0.336,3.541666666666667,93.4747619903548
2022-06-14,1.4176232931379062,BO,0.336,3.541666666666667,38.12771204636585
2022-08-09,1.516666666666667,BO,1.12,11.805555555555555,19
2022-09-13,1.0111111111111113,BO,0.7466666666666667,7.870370370370371,30.887092107102905
2022-10-18,0.45500000000000007,C2,6.379484675478661,3.541666666666667,5.7
2022-11-15,0.45500000000000007,C2,0.336,36.82599297635477,5.7
2022-12-14,0.45500000000000007,C2,0.336,3.541666666666667,5.7
2022-02-16,0.45500000000000007,C2,0.336,3.541666666666667,5.7
2022-03-09,0.45500000000000007,C2,0.336,3.541666666666667,5.7
2022-04-20,0.45500000000000007,C2,0.336,3.541666666666667,5.7
2022-05-11,0.45500000000000007,C2,0.336,3.541666666666667,5.7
2022-05-20,0.45500000000000007,C2,0.336,3.541666666666667,5.7
2022-05-24,0.45500000000000007,C2,0.336,3.541666666666667,5.7
2022-06-14,0.45500000000000007,C2,0.336,3.541666666666667,5.7
2022-08-09,0.45500000000000007,C2,0.336,3.541666666666667,5.7
2022-09-13,0.45500000000000007,C2,0.336,3.541666666666667,5.7
2022-10-18,0.45500000000000007,RD,0.336,3.541666666666667,5.7
2022-11-15,0.45500000000000007,RD,0.336,3.541666666666667,5.7
2022-12-14,0.45500000000000007,RD,0.336,3.541666666666667,14.737006020040614
2022-02-16,0.45500000000000007,RD,0.336,3.541666666666667,5.7
2022-03-09,0.45500000000000007,RD,0.336,3.541666666666667,5.7
2022-04-20,0.45500000000000007,RD,0.336,3.541666666666667,5.7
2022-05-11,0.45500000000000007,RD,0.336,3.541666666666667,5.7
2022-05-20,0.45500000000000007,RD,0.336,3.541666666666667,5.7
2022-05-24,0.45500000000000007,RD,0.336,3.541666666666667,5.7
2022-06-14,0.45500000000000007,RD,0.336,3.541666666666667,5.7
2022-08-09,2.927947719509382,RD,47.09864117578629,3.541666666666667,5.7
2022-09-13,0.45500000000000007,RD,0.336,3.541666666666667,5.7
