hr_cst,date,dust,copies_mL,site,sum_7
19,2022-07-16,0.14,32447.29921,BO,0.57
1,2022-07-16,0.17,20656.16308,C2,0.57
7,2022-07-16,0.18,20656.16308,C2,0.57
13,2022-07-16,0.12,20656.16308,C2,0.57
19,2022-07-16,0.14,20656.16308,C2,0.57
1,2022-07-16,0.17,71864.464,RD,0.57
7,2022-07-16,0.18,71864.464,RD,0.57
13,2022-07-16,0.12,71864.464,RD,0.57
19,2022-07-16,0.14,71864.464,RD,0.57
1,2022-07-17,0.14,69064.50925,BO,0.55
7,2022-07-17,0.15,69064.50925,BO,0.55
13,2022-07-17,0.17,69064.50925,BO,0.55
19,2022-07-17,0.15,69064.50925,BO,0.55
1,2022-07-17,0.14,8376.507081,C2,0.55
7,2022-07-17,0.15,8376.507081,C2,0.55
13,2022-07-17,0.17,8376.507081,C2,0.55
19,2022-07-17,0.15,8376.507081,C2,0.55
1,2022-07-17,0.14,69089.27044,RD,0.55
7,2022-07-17,0.15,69089.27044,RD,0.55
13,2022-07-17,0.17,69089.27044,RD,0.55
19,2022-07-17,0.15,69089.27044,RD,0.55
1,2022-07-18,0.13,50214.08436,BO,0.55
7,2022-07-18,0.1,50214.08436,BO,0.55
13,2022-07-18,0.05,50214.08436,BO,0.55
19,2022-07-18,0.04,50214.08436,BO,0.55
1,2022-07-18,0.13,28784.5619,C2,0.55
7,2022-07-18,0.1,28784.5619,C2,0.55
13,2022-07-18,0.05,28784.5619,C2,0.55
19,2022-07-18,0.04,28784.5619,C2,0.55
1,2022-07-18,0.13,149149.6123,RD,0.55
7,2022-07-18,0.1,149149.6123,RD,0.55
13,2022-07-18,0.05,149149.6123,RD,0.55
19,2022-07-18,0.04,149149.6123,RD,0.55
1,2022-07-19,0.04,71334.24842,BO,0.17
7,2022-07-19,0.04,71334.24842,BO,0.17
13,2022-07-19,0.05,71334.24842,BO,0.17
19,2022-07-19,0.05,71334.24842,BO,0.17
1,2022-07-19,0.04,28577.6044,C2,0.17
7,2022-07-19,0.04,28577.6044,C2,0.17
13,2022-07-19,0.05,28577.6044,C2,0.17
19,2022-07-19,0.05,28577.6044,C2,0.17
1,2022-07-19,0.04,107384.118,RD,0.17
7,2022-07-19,0.04,107384.118,RD,0.17
13,2022-07-19,0.05,107384.118,RD,0.17
19,2022-07-19,0.05,107384.118,RD,0.17
