Location,Date of sample collection,"CFU conting date, after 24 hr incubation",Sample name,Number of Yellow colony,Number of Green colony,Total colonies,Dilution Factor (Final volume/Initial volume),Volume of sample plated in mL,Total CFU/mL,variation,CFU/mL Yellow,CFU/mL Green,Remarks,*= Wet plates --> Spreading
BO,7/15/22,7/16/22,50+50 µLA,2,3,5,2,0.1,100,,40,60,,
BO,7/15/22,7/16/22,50+50 µLA,15,1,16,2,0.1,320,,300,20,*,
Canal 2,7/15/22,7/16/22,100µLA,19,26,45,1,0.1,450,,190,260,,
Canal 2,7/15/22,7/16/22,100µLB,58,19,77,1,0.1,770,,580,190,,
Canal 2,7/15/22,7/16/22,100µLC,9,15,24,1,0.1,240,,90,150,,
Canal 2,7/15/22,7/16/22,50+50 µLA,7,15,22,2,0.1,440,g,140,300,,
Canal 2,7/15/22,7/16/22,50+50 µLA,13,8,21,2,0.1,420,g,260,160,*,
Canal 2,7/15/22,7/16/22,50+50 µLA,8,6,14,2,0.1,280,g,160,120,*,
RD6,7/15/22,7/16/22,100µLA,70,71,141,1,0.1,1410,g,700,710,*,
RD6,7/15/22,7/16/22,100µLB,73,50,123,1,0.1,1230,g,730,500,*,
RD6,7/15/22,7/16/22,100µLC,94,107,201,1,0.1,2010,g,940,1070,,
RD6,7/15/22,7/16/22,50+50 µLA,35,25,60,2,0.1,1200,,700,500,*,
RD6,7/15/22,7/16/22,50+50 µLA,7,6,13,2,0.1,260,,140,120,*,
RD6,7/15/22,7/16/22,50+50 µLA,47,29,76,2,0.1,1520,,940,580,*,
Milli Q,7/15/22,7/16/22,100µLA,0,0,0,1,0.1,0,,0,0,,
1 X PBS,7/15/22,7/16/22,100µLA,0,0,0,1,0.1,0,,0,0,,
BO,7/16/22,7/17/22,100µLA,78,6,84,1,0.1,840,g,780,60,*,
BO,7/16/22,7/17/22,100µLB,60,12,72,1,0.1,720,g,600,120,,
BO,7/16/22,7/17/22,100µLC,60,17,77,1,0.1,770,g,600,170,,
BO,7/16/22,7/17/22,50+50 µLA,34,15,49,2,0.1,980,,680,300,,
BO,7/16/22,7/17/22,50+50 µLA,9,2,11,2,0.1,220,,180,40,,
BO,7/16/22,7/17/22,50+50 µLA,27,7,34,2,0.1,680,,540,140,,
Canal 2,7/16/22,7/17/22,100µLA,36,47,83,1,0.1,830,g,360,470,,
Canal 2,7/16/22,7/17/22,100µLB,39,31,70,1,0.1,700,g,390,310,*,
Canal 2,7/16/22,7/17/22,100µLC,40,52,92,1,0.1,920,g,400,520,,
Canal 2,7/16/22,7/17/22,50+50 µLA,26,23,49,2,0.1,980,,520,460,,
Canal 2,7/16/22,7/17/22,50+50 µLA,18,22,40,2,0.1,800,,360,440,*,
Canal 2,7/16/22,7/17/22,50+50 µLA,13,19,32,2,0.1,640,,260,380,,
RD6,7/16/22,7/17/22,100µLA,82,30,112,1,0.1,1120,g,820,300,,
RD6,7/16/22,7/17/22,100µLB,67,41,108,1,0.1,1080,g,670,410,,
RD6,7/16/22,7/17/22,100µLC,67,41,108,1,0.1,1080,g,670,410,,
RD6,7/16/22,7/17/22,50+50 µLA,45,19,64,2,0.1,1280,,900,380,,
RD6,7/16/22,7/17/22,50+50 µLA,42,24,66,2,0.1,1320,,840,480,,
RD6,7/16/22,7/17/22,50+50 µLA,36,17,53,2,0.1,1060,,720,340,,
Milli Q,7/16/22,7/17/22,100µLA,0,0,0,1,0.1,0,,0,0,,
1 X PBS,7/16/22,7/17/22,100µLA,0,0,0,1,0.1,0,,0,0,,
BO,7/17/22,7/18/22,100µLA,21,6,27,1,0.1,270,,210,60,,
BO,7/17/22,7/18/22,100µLB,43,13,56,1,0.1,560,,430,130,,
BO,7/17/22,7/18/22,100µLC,55,8,63,1,0.1,630,,550,80,*,
BO,7/17/22,7/18/22,50+50 µLA,25,3,28,2,0.1,560,g,500,60,,
BO,7/17/22,7/18/22,50+50 µLA,30,5,35,2,0.1,700,g,600,100,*,
BO,7/17/22,7/18/22,50+50 µLA,46,3,49,2,0.1,980,g,920,60,*,
Canal 2,7/17/22,7/18/22,100µLA,48,24,72,1,0.1,720,,480,240,,
Canal 2,7/17/22,7/18/22,100µLB,22,26,48,1,0.1,480,,220,260,,
Canal 2,7/17/22,7/18/22,100µLC,35,18,53,1,0.1,530,,350,180,,
Canal 2,7/17/22,7/18/22,50+50 µLA,11,10,21,2,0.1,420,g,220,200,,
Canal 2,7/17/22,7/18/22,50+50 µLA,12,6,18,2,0.1,360,g,240,120,,
Canal 2,7/17/22,7/18/22,50+50 µLA,16,6,22,2,0.1,440,g,320,120,,
RD6,7/17/22,7/18/22,100µLA,90,58,148,1,0.1,1480,g,900,580,,
RD6,7/17/22,7/18/22,100µLB,104,53,157,1,0.1,1570,g,1040,530,,
RD6,7/17/22,7/18/22,100µLC,83,63,146,1,0.1,1460,g,830,630,,
RD6,7/17/22,7/18/22,50+50 µLA,28,35,63,2,0.1,1260,,560,700,*,
RD6,7/17/22,7/18/22,50+50 µLA,33,40,73,2,0.1,1460,,660,800,*,
RD6,7/17/22,7/18/22,50+50 µLA,29,36,65,2,0.1,1300,,580,720,*,
Milli Q,7/17/22,7/18/22,100µLA,0,0,0,1,0.1,0,,0,0,,
1 X PBS,7/17/22,7/18/22,100µLA,0,1,1,1,0.1,10,,0,10,,
BO,7/18/22,7/19/22,100µLA,36,4,40,1,0.1,400,g,360,40,,
BO,7/18/22,7/19/22,100µLB,24,11,35,1,0.1,350,g,240,110,,
BO,7/18/22,7/19/22,100µLC,15,12,27,1,0.1,270,g,150,120,,
BO,7/18/22,7/19/22,50+50 µLA,18,5,23,2,0.1,460,,360,100,,
BO,7/18/22,7/19/22,50+50 µLA,15,2,17,2,0.1,340,,300,40,,
BO,7/18/22,7/19/22,50+50 µLA,12,2,14,2,0.1,280,,240,40,,
Canal 2,7/18/22,7/19/22,100µLA,23,4,27,1,0.1,270,,230,40,,
Canal 2,7/18/22,7/19/22,100µLB,51,20,71,1,0.1,710,,510,200,,
Canal 2,7/18/22,7/19/22,100µLC,43,29,72,1,0.1,720,,430,290,,
Canal 2,7/18/22,7/19/22,50+50 µLA,11,15,26,2,0.1,520,g,220,300,,
Canal 2,7/18/22,7/19/22,50+50 µLA,13,4,17,2,0.1,340,g,260,80,,
Canal 2,7/18/22,7/19/22,50+50 µLA,15,4,19,2,0.1,380,g,300,80,,
RD6,7/18/22,7/19/22,100µLA,53,160,213,1,0.1,2130,,530,1600,,
RD6,7/18/22,7/19/22,100µLB,31,94,125,1,0.1,1250,,310,940,,
RD6,7/18/22,7/19/22,100µLC,81,92,173,1,0.1,1730,,810,920,,
RD6,7/18/22,7/19/22,50+50 µLA,14,24,38,2,0.1,760,g,280,480,,
RD6,7/18/22,7/19/22,50+50 µLA,15,24,39,2,0.1,780,g,300,480,,
RD6,7/18/22,7/19/22,50+50 µLA,23,44,67,2,0.1,1340,g,460,880,,
Milli Q,7/18/22,7/19/22,100µLA,0,0,0,1,0.1,0,,0,0,,
1 X PBS,7/18/22,7/19/22,100µLA,0,0,0,1,0.1,0,,0,0,,
BO,7/19/22,7/20/22,100µLA,5,4,9,1,0.1,90,,50,40,,
BO,7/19/22,7/20/22,100µLB,13,3,16,1,0.1,160,,130,30,,
BO,7/19/22,7/20/22,100µLC,8,2,10,1,0.1,100,,80,20,,
BO,7/19/22,7/20/22,50+50 µLA,4,1,5,2,0.1,100,g,80,20,,
BO,7/19/22,7/20/22,50+50 µLA,11,7,18,2,0.1,360,g,220,140,,
BO,7/19/22,7/20/22,50+50 µLA,6,5,11,2,0.1,220,g,120,100,,
Canal 2,7/19/22,7/20/22,100µLA,16,4,20,1,0.1,200,g,160,40,,
Canal 2,7/19/22,7/20/22,100µLB,8,4,12,1,0.1,120,g,80,40,,
Canal 2,7/19/22,7/20/22,100µLC,18,4,22,1,0.1,220,g,180,40,,
Canal 2,7/19/22,7/20/22,50+50 µLA,7,2,9,2,0.1,180,,140,40,,
Canal 2,7/19/22,7/20/22,50+50 µLA,2,2,4,2,0.1,80,,40,40,,
Canal 2,7/19/22,7/20/22,50+50 µLA,12,7,19,2,0.1,380,,240,140,,
RD6,7/19/22,7/20/22,100µLA,34,76,110,1,0.1,1100,,340,760,,
RD6,7/19/22,7/20/22,100µLB,32,72,104,1,0.1,1040,,320,720,,
RD6,7/19/22,7/20/22,100µLC,19,38,57,1,0.1,570,,190,380,,
RD6,7/19/22,7/20/22,50+50 µLA,19,40,59,2,0.1,1180,g,380,800,,
RD6,7/19/22,7/20/22,50+50 µLA,25,42,67,2,0.1,1340,g,500,840,,
RD6,7/19/22,7/20/22,50+50 µLA,11,37,48,2,0.1,960,g,220,740,,
Milli Q,7/19/22,7/20/22,100µLA,0,0,0,1,0.1,0,,0,0,,
1 X PBS,7/19/22,7/20/22,100µLA,0,0,0,1,0.1,0,,0,0,,
BO,8/9/22,8/10/22,100µLA,11,6,17,1,0.1,170,g,110,60,,
BO,8/9/22,8/10/22,100µLB,3,1,4,1,0.1,40,g,30,10,,
BO,8/9/22,8/10/22,100µLC,1,0,1,1,0.1,10,g,10,0,,
BO,8/9/22,8/10/22,50+50 µLA,0,1,1,2,0.1,20,,0,20,,
BO,8/9/22,8/10/22,50+50 µLA,0,0,0,2,0.1,0,,0,0,,
BO,8/9/22,8/10/22,50+50 µLA,0,0,0,2,0.1,0,,0,0,,
Canal 2,8/9/22,8/10/22,100µLA,9,4,13,1,0.1,130,g,90,40,,
Canal 2,8/9/22,8/10/22,100µLB,4,5,9,1,0.1,90,g,40,50,,
Canal 2,8/9/22,8/10/22,100µLC,3,2,5,1,0.1,50,g,30,20,,
Canal 2,8/9/22,8/10/22,50+50 µLA,0,1,1,2,0.1,20,,0,20,,
Canal 2,8/9/22,8/10/22,50+50 µLA,1,2,3,2,0.1,60,,20,40,,
Canal 2,8/9/22,8/10/22,50+50 µLA,2,7,9,2,0.1,180,,40,140,,
RD6,8/9/22,8/10/22,100µLA,2,6,8,1,0.1,80,g,20,60,,
RD6,8/9/22,8/10/22,100µLB,2,9,11,1,0.1,110,g,20,90,,
RD6,8/9/22,8/10/22,100µLC,1,8,9,1,0.1,90,g,10,80,,
RD6,8/9/22,8/10/22,50+50 µLA,0,0,0,2,0.1,0,,0,0,,
RD6,8/9/22,8/10/22,50+50 µLA,0,0,0,2,0.1,0,,0,0,,
RD6,8/9/22,8/10/22,50+50 µLA,0,2,2,2,0.1,40,,0,40,,
Milli Q,8/9/22,8/10/22,100µLA,0,0,0,1,0.1,0,,0,0,,
1 X PBS,8/9/22,8/10/22,100µLA,0,0,0,1,0.1,0,,0,0,,
BO,9/13/22,9/14/22,100µLA,2,0,2,1,0.1,20,g,20,0,,
BO,9/13/22,9/14/22,100µLB,7,3,10,1,0.1,100,g,70,30,,
BO,9/13/22,9/14/22,100µLC,1,1,2,1,0.1,20,g,10,10,,
BO,9/13/22,9/14/22,50+50 µLA,0,0,0,2,0.1,0,,0,0,,
BO,9/13/22,9/14/22,50+50 µLA,0,0,0,2,0.1,0,,0,0,,
BO,9/13/22,9/14/22,50+50 µLA,0,0,0,2,0.1,0,,0,0,,
Canal 2,9/13/22,9/14/22,100µLA,2,6,8,1,0.1,80,g,20,60,,
Canal 2,9/13/22,9/14/22,100µLB,1,0,1,1,0.1,10,g,10,0,,
Canal 2,9/13/22,9/14/22,100µLC,7,1,8,1,0.1,80,g,70,10,,
Canal 2,9/13/22,9/14/22,50+50 µLA,0,0,0,2,0.1,0,,0,0,,
Canal 2,9/13/22,9/14/22,50+50 µLA,0,2,2,2,0.1,40,,0,40,,
Canal 2,9/13/22,9/14/22,50+50 µLA,0,1,1,2,0.1,20,,0,20,,
RD6,9/13/22,9/14/22,100µLA,0,5,5,1,0.1,50,g,0,50,,
RD6,9/13/22,9/14/22,100µLB,1,0,1,1,0.1,10,g,10,0,,
RD6,9/13/22,9/14/22,100µLC,0,4,4,1,0.1,40,g,0,40,,
RD6,9/13/22,9/14/22,50+50 µLA,0,0,0,2,0.1,0,,0,0,,
RD6,9/13/22,9/14/22,50+50 µLA,1,2,3,2,0.1,60,,20,40,,
RD6,9/13/22,9/14/22,50+50 µLA,0,0,0,2,0.1,0,,0,0,,
Milli Q,9/13/22,9/14/22,100µLA,0,0,0,1,0.1,0,,0,0,,
1 X PBS,9/13/22,9/14/22,100µLA,0,0,0,1,0.1,0,,0,0,,
BO,10/18/22,10/19/22,100µLA,9,7,16,1,0.1,160,,90,70,,
BO,10/18/22,10/19/22,100µLB,24,22,46,1,0.1,460,,240,220,,
BO,10/18/22,10/19/22,100µLC,20,22,42,1,0.1,420,,200,220,,
BO,10/18/22,10/19/22,50+50 µLA,14,9,23,2,0.1,460,g,280,180,,
BO,10/18/22,10/19/22,50+50 µLA,15,7,22,2,0.1,440,g,300,140,,
BO,10/18/22,10/19/22,50+50 µLA,8,3,11,2,0.1,220,g,160,60,,
Canal 2,10/18/22,10/19/22,100µLA,4,4,8,1,0.1,80,g,40,40,,
Canal 2,10/18/22,10/19/22,100µLB,4,2,6,1,0.1,60,g,40,20,,
Canal 2,10/18/22,10/19/22,100µLC,5,6,11,1,0.1,110,g,50,60,,
Canal 2,10/18/22,10/19/22,50+50 µLA,4,1,5,2,0.1,100,,80,20,,
Canal 2,10/18/22,10/19/22,50+50 µLA,1,2,3,2,0.1,60,,20,40,,
Canal 2,10/18/22,10/19/22,50+50 µLA,5,9,14,2,0.1,280,,100,180,,
RD6,10/18/22,10/19/22,100µLA,0,1,1,1,0.1,10,,0,10,,
RD6,10/18/22,10/19/22,100µLB,0,0,0,1,0.1,0,,0,0,,
RD6,10/18/22,10/19/22,100µLC,2,7,9,1,0.1,90,,20,70,,
RD6,10/18/22,10/19/22,50+50 µLA,1,3,4,2,0.1,80,g,20,60,,
RD6,10/18/22,10/19/22,50+50 µLA,1,6,7,2,0.1,140,g,20,120,,
RD6,10/18/22,10/19/22,50+50 µLA,1,1,2,2,0.1,40,g,20,20,,
Milli Q,10/18/22,10/19/22,100µLA,0,0,0,1,0.1,0,,0,0,,
1 X PBS,10/18/22,10/19/22,100µLA,0,0,0,1,0.1,0,,0,0,,
BO,11/15/22,11/16/22,100µLA,1,4,5,1,0.1,50,g,10,40,,
BO,11/15/22,11/16/22,100µLB,10,13,23,1,0.1,230,g,100,130,,
BO,11/15/22,11/16/22,100µLC,8,10,18,1,0.1,180,g,80,100,,
BO,11/15/22,11/16/22,50+50 µLA,15,35,50,2,0.1,1000,,300,700,,
BO,11/15/22,11/16/22,50+50 µLA,6,8,14,2,0.1,280,,120,160,,
BO,11/15/22,11/16/22,50+50 µLA,4,4,8,2,0.1,160,,80,80,,
Canal 2,11/15/22,11/16/22,100µLA,1,1,2,1,0.1,20,g,10,10,,
Canal 2,11/15/22,11/16/22,100µLB,1,10,11,1,0.1,110,g,10,100,,
Canal 2,11/15/22,11/16/22,100µLC,3,6,9,1,0.1,90,g,30,60,,
Canal 2,11/15/22,11/16/22,50+50 µLA,1,1,2,2,0.1,40,,20,20,,
Canal 2,11/15/22,11/16/22,50+50 µLA,4,5,9,2,0.1,180,,80,100,,
Canal 2,11/15/22,11/16/22,50+50 µLA,4,9,13,2,0.1,260,,80,180,,
RD6,11/15/22,11/16/22,100µLA,0,14,14,1,0.1,140,g,0,140,,
RD6,11/15/22,11/16/22,100µLB,3,14,17,1,0.1,170,g,30,140,,
RD6,11/15/22,11/16/22,100µLC,3,10,13,1,0.1,130,g,30,100,,
RD6,11/15/22,11/16/22,50+50 µLA,0,3,3,2,0.1,60,,0,60,,
RD6,11/15/22,11/16/22,50+50 µLA,1,7,8,2,0.1,160,,20,140,,
RD6,11/15/22,11/16/22,50+50 µLA,0,8,8,2,0.1,160,,0,160,,
Milli Q,11/15/22,11/16/22,100µLA,0,0,0,1,0.1,0,,0,0,,
1 X PBS,11/15/22,11/16/22,100µLA,0,0,0,1,0.1,0,,0,0,,
BO,12/14/22,12/15/22,100µLA,10,7,17,1,0.1,170,g,100,70,,
BO,12/14/22,12/15/22,100µLB,1,2,3,1,0.1,30,g,10,20,,
BO,12/14/22,12/15/22,100µLC,5,3,8,1,0.1,80,g,50,30,,
BO,12/14/22,12/15/22,50+50 µLA,9,7,16,2,0.1,320,,180,140,,
BO,12/14/22,12/15/22,50+50 µLA,3,1,4,2,0.1,80,,60,20,,
BO,12/14/22,12/15/22,50+50 µLA,0,3,3,2,0.1,60,,0,60,,
Canal 2,12/14/22,12/15/22,100µLA,4,11,15,1,0.1,150,g,40,110,,
Canal 2,12/14/22,12/15/22,100µLB,6,3,9,1,0.1,90,g,60,30,,
Canal 2,12/14/22,12/15/22,100µLC,6,13,19,1,0.1,190,g,60,130,,
Canal 2,12/14/22,12/15/22,50+50 µLA,0,1,1,2,0.1,20,,0,20,,
Canal 2,12/14/22,12/15/22,50+50 µLA,9,7,16,2,0.1,320,,180,140,,
Canal 2,12/14/22,12/15/22,50+50 µLA,1,2,3,2,0.1,60,,20,40,,
RD6,12/14/22,12/15/22,100µLA,2,14,16,1,0.1,160,g,20,140,,
RD6,12/14/22,12/15/22,100µLB,6,15,21,1,0.1,210,g,60,150,,
RD6,12/14/22,12/15/22,100µLC,0,4,4,1,0.1,40,g,0,40,,
RD6,12/14/22,12/15/22,50+50 µLA,1,1,2,2,0.1,40,,20,20,,
RD6,12/14/22,12/15/22,50+50 µLA,0,0,0,2,0.1,0,,0,0,,
RD6,12/14/22,12/15/22,50+50 µLA,3,4,7,2,0.1,140,,60,80,,
Milli Q,12/14/22,12/15/22,100µLA,0,0,0,1,0.1,0,,0,0,,
1 X PBS,12/14/22,12/15/22,100µLA,0,0,0,1,0.1,0,,0,0,,
