Location,Date of sample collection,"CFU conting date, after 24 hr incubation",Sample name,Number of Yellow colony,Number of Green colony,Total colonies,Dilution Factor (Final volume/Initial volume),Volume of sample plated in mL,Total CFU/mL,variation,CFU/mL Yellow,CFU/mL Green,Remarks,*= Wet plates --> Spreading
BO,5/11/22,5/12/22,10+90  µLA,0,1,1,10,0.1,100,,0,100,,
BO,5/11/22,5/12/22,10+90  µLA,0,1,1,10,0.1,100,,0,100,,
Canal 2,5/11/22,5/12/22,100µLA,0,6,6,1,0.1,60,g,0,60,,
Canal 2,5/11/22,5/12/22,100µLB,9,15,24,1,0.1,240,g,90,150,,
Canal 2,5/11/22,5/12/22,100µLC,3,9,12,1,0.1,120,g,30,90,,
Canal 2,5/11/22,5/12/22,50+50 µLA,3,5,8,2,0.1,160,,60,100,,
Canal 2,5/11/22,5/12/22,50+50 µLA,1,1,2,2,0.1,40,,20,20,,
Canal 2,5/11/22,5/12/22,50+50 µLA,2,2,4,2,0.1,80,,40,40,,
Canal 2,5/11/22,5/12/22,10+90  µLA,0,0,0,10,0.1,0,,0,0,,
Canal 2,5/11/22,5/12/22,10+90  µLA,0,0,0,10,0.1,0,,0,0,,
Canal 2,5/11/22,5/12/22,10+90  µLA,0,1,1,10,0.1,100,,0,100,,
RD6,5/11/22,5/12/22,100µLA,1,5,6,1,0.1,60,g,10,50,,
RD6,5/11/22,5/12/22,100µLB,1,8,9,1,0.1,90,g,10,80,,
RD6,5/11/22,5/12/22,100µLC,1,4,5,1,0.1,50,g,10,40,,
RD6,5/11/22,5/12/22,50+50 µLA,0,0,0,2,0.1,0,,0,0,,
RD6,5/11/22,5/12/22,50+50 µLA,0,3,3,2,0.1,60,,0,60,,
RD6,5/11/22,5/12/22,50+50 µLA,0,1,1,2,0.1,20,,0,20,,
RD6,5/11/22,5/12/22,10+90  µLA,0,0,0,10,0.1,0,,0,0,,
RD6,5/11/22,5/12/22,10+90  µLA,1,0,1,10,0.1,100,,100,0,,
RD6,5/11/22,5/12/22,10+90  µLA,0,0,0,10,0.1,0,,0,0,,
Milli Q,5/11/22,5/12/22,100µLA,0,0,0,1,0.1,0,,0,0,,
1 X PBS,5/11/22,5/12/22,100µLA,0,0,0,1,0.1,0,,0,0,,
20% Glycerol,5/11/22,5/12/22,100µLA,0,0,0,1,0.1,0,,0,0,,
BO,5/20/22,5/21/22,100µLA,65,26,91,1,0.1,910,g,650,260,Pre-dust event,
BO,5/20/22,5/21/22,100µLB,3,6,9,1,0.1,90,g,30,60,,
BO,5/20/22,5/21/22,100µLC,49,16,65,1,0.1,650,g,490,160,,
BO,5/20/22,5/21/22,50+50 µLA,5,2,7,2,0.1,140,,100,40,,
BO,5/20/22,5/21/22,50+50 µLA,90,11,101,2,0.1,2020,,1800,220,,
BO,5/20/22,5/21/22,50+50 µLA,17,6,23,2,0.1,460,,340,120,,
Canal 2,5/20/22,5/21/22,100µLA,32,18,50,1,0.1,500,g,320,180,,
Canal 2,5/20/22,5/21/22,100µLB,39,31,70,1,0.1,700,g,390,310,,
Canal 2,5/20/22,5/21/22,100µLC,44,43,87,1,0.1,870,g,440,430,,
Canal 2,5/20/22,5/21/22,50+50 µLA,1,0,1,2,0.1,20,,20,0,,
Canal 2,5/20/22,5/21/22,50+50 µLA,16,15,31,2,0.1,620,,320,300,,
Canal 2,5/20/22,5/21/22,50+50 µLA,14,13,27,2,0.1,540,,280,260,,
RD6,5/20/22,5/21/22,100µLA,65,63,128,1,0.1,1280,g,650,630,,
RD6,5/20/22,5/21/22,100µLB,49,43,92,1,0.1,920,g,490,430,,
RD6,5/20/22,5/21/22,100µLC,45,50,95,1,0.1,950,g,450,500,,
RD6,5/20/22,5/21/22,50+50 µLA,13,27,40,2,0.1,800,,260,540,,
RD6,5/20/22,5/21/22,50+50 µLA,12,17,29,2,0.1,580,,240,340,,
RD6,5/20/22,5/21/22,50+50 µLA,19,20,39,2,0.1,780,,380,400,,
Milli Q,5/20/22,5/21/22,100µLA,0,0,0,1,0.1,0,,0,0,,
1 X PBS,5/20/22,5/21/22,100µLA,0,0,0,1,0.1,0,,0,0,,
BO,5/24/22,5/25/22,100µLA,2,0,2,1,0.1,20,,20,0,"Post-dust event, first dust 05/23/2022",
BO,5/24/22,5/25/22,100µLB,11,3,14,1,0.1,140,,110,30,,
BO,5/24/22,5/25/22,100µLC,3,0,3,1,0.1,30,,30,0,,
BO,5/24/22,5/25/22,50+50 µLA,2,0,2,2,0.1,40,g,40,0,,
BO,5/24/22,5/25/22,50+50 µLA,1,1,2,2,0.1,40,g,20,20,,
BO,5/24/22,5/25/22,50+50 µLA,2,2,4,2,0.1,80,g,40,40,,
Canal 2,5/24/22,5/25/22,100µLA,6,11,17,1,0.1,170,,60,110,,
Canal 2,5/24/22,5/25/22,100µLB,1,8,9,1,0.1,90,,10,80,,
Canal 2,5/24/22,5/25/22,100µLC,18,13,31,1,0.1,310,,180,130,,
Canal 2,5/24/22,5/25/22,50+50 µLA,3,5,8,2,0.1,160,g,60,100,,
Canal 2,5/24/22,5/25/22,50+50 µLA,7,9,16,2,0.1,320,g,140,180,,
Canal 2,5/24/22,5/25/22,50+50 µLA,4,4,8,2,0.1,160,g,80,80,,
RD6,5/24/22,5/25/22,100µLA,6,53,59,1,0.1,590,g,60,530,,
RD6,5/24/22,5/25/22,100µLB,2,43,45,1,0.1,450,g,20,430,,
RD6,5/24/22,5/25/22,100µLC,0,7,7,1,0.1,70,g,0,70,,
RD6,5/24/22,5/25/22,50+50 µLA,0,2,2,2,0.1,40,,0,40,,
RD6,5/24/22,5/25/22,50+50 µLA,2,10,12,2,0.1,240,,40,200,,
RD6,5/24/22,5/25/22,50+50 µLA,1,23,24,2,0.1,480,,20,460,,
Milli Q,5/24/22,5/25/22,100µLA,0,0,0,1,0.1,0,,0,0,,
1 X PBS,5/24/22,5/25/22,100µLA,0,0,0,1,0.1,0,,0,0,,
