yyyymmddhh,ABF,Dust,Smoke,SeaSalt,Total AOT
2022020100,0.1,0.03,0.02,0.1,0.24
2022020106,0.04,0.01,0.01,0.03,0.09
2022020112,0.04,0.01,0.01,0.02,0.09
2022020118,0.03,0.01,0,0.02,0.06
2022020200,0.02,0.01,0,0.01,0.05
2022020206,0.04,0.03,0.01,0.02,0.1
2022020212,0.09,0.02,0.03,0.05,0.19
2022020218,0.1,0,0.04,0.05,0.19
2022020300,0.13,0,0.05,0.03,0.22
2022020306,0.22,0.01,0.07,0.04,0.34
2022020312,0.2,0.01,0.06,0.03,0.29
2022020318,0.14,0,0.04,0.02,0.2
2022020400,0.07,0,0.02,0.01,0.11
2022020406,0.06,0.01,0.01,0.01,0.09
2022020412,0.08,0.01,0.01,0.02,0.11
2022020418,0.09,0.04,0.01,0.02,0.15
2022020500,0.04,0.04,0.01,0.01,0.1
2022020506,0.06,0.03,0.01,0.01,0.11
2022020512,0.04,0.02,0.01,0.01,0.08
2022020518,0.04,0.02,0.01,0.01,0.08
2022020600,0.04,0.02,0.01,0.01,0.07
2022020606,0.03,0.03,0.01,0.01,0.08
2022020612,0.05,0.02,0.01,0.01,0.09
2022020618,0.09,0.02,0.02,0.02,0.15
2022020700,0.09,0.03,0.02,0.03,0.17
2022020706,0.12,0.02,0.02,0.04,0.2
2022020712,0.16,0.02,0.02,0.04,0.24
2022020718,0.1,0.03,0.02,0.01,0.16
2022020800,0.06,0.02,0.02,0.01,0.1
2022020806,0.04,0.01,0.01,0.01,0.08
2022020812,0.04,0.01,0.01,0.01,0.07
2022020818,0.03,0.01,0.01,0.01,0.06
2022020900,0.03,0.01,0.01,0.01,0.06
2022020906,0.03,0.01,0.01,0.01,0.06
2022020912,0.03,0.01,0.01,0.01,0.06
2022020918,0.04,0.02,0.01,0.01,0.08
2022021000,0.04,0.03,0.01,0.01,0.08
2022021006,0.03,0.04,0.01,0.01,0.09
2022021012,0.03,0.04,0.01,0.01,0.08
2022021018,0.04,0.03,0.01,0.01,0.09
2022021100,0.04,0.03,0.01,0.01,0.09
2022021106,0.04,0.03,0.01,0.01,0.09
2022021112,0.04,0.02,0.01,0,0.09
2022021118,0.06,0.01,0.01,0,0.1
2022021200,0.06,0.02,0.01,0.01,0.1
2022021206,0.05,0.04,0.01,0.01,0.12
2022021212,0.07,0.03,0.02,0.02,0.14
2022021218,0.15,0.03,0.03,0.03,0.24
2022021300,0.11,0.03,0.09,0.02,0.25
2022021306,0.03,0.01,0.04,0.02,0.1
2022021312,0.02,0.01,0.01,0.02,0.05
2022021318,0.02,0.01,0.01,0.02,0.06
2022021400,0.03,0.01,0.01,0.01,0.06
2022021406,0.03,0.01,0.01,0.01,0.06
2022021412,0.02,0.02,0.01,0.01,0.06
2022021418,0.03,0.02,0.01,0.01,0.07
2022021500,0.03,0.02,0.01,0.01,0.07
2022021506,0.03,0.02,0.01,0.02,0.08
2022021512,0.02,0.02,0.01,0.02,0.07
2022021518,0.04,0.03,0.01,0.03,0.11
2022021600,0.03,0.02,0.01,0.02,0.09
2022021606,0.04,0.02,0.02,0.05,0.13
2022021612,0.06,0.02,0.02,0.06,0.16
2022021618,0.08,0.01,0.03,0.06,0.18
2022021700,0.06,0.02,0.02,0.04,0.14
2022021706,0.09,0.01,0.04,0.07,0.21
2022021712,0.07,0,0.03,0.04,0.15
2022021718,0.05,0.01,0.03,0.02,0.11
2022021800,0.03,0.01,0.02,0.01,0.07
2022021806,0.02,0.01,0.01,0.01,0.05
2022021812,0.03,0.01,0.02,0.01,0.07
2022021818,0.06,0.03,0.02,0.01,0.12
2022021900,0.04,0.02,0.02,0.01,0.09
2022021906,0.04,0.02,0.02,0.01,0.09
2022021912,0.06,0.02,0.03,0.01,0.11
2022021918,0.06,0.02,0.03,0.01,0.13
2022022000,0.06,0.01,0.03,0.02,0.13
2022022006,0.08,0.01,0.03,0.03,0.16
2022022012,0.1,0.01,0.04,0.05,0.2
2022022018,0.13,0.01,0.05,0.08,0.27
2022022100,0.12,0.01,0.05,0.07,0.26
2022022106,0.12,0.01,0.05,0.07,0.25
2022022112,0.09,0.02,0.03,0.04,0.18
2022022118,0.07,0.01,0.03,0.03,0.14
2022022200,0.07,0.01,0.03,0.03,0.14
2022022206,0.08,0.01,0.04,0.04,0.17
2022022212,0.08,0.01,0.03,0.04,0.16
2022022218,0.1,0.02,0.04,0.05,0.22
2022022300,0.09,0.04,0.04,0.05,0.23
2022022306,0.09,0.04,0.05,0.06,0.24
2022022312,0.09,0.03,0.04,0.07,0.22
2022022318,0.15,0.03,0.05,0.11,0.34
2022022400,0.11,0.03,0.05,0.08,0.27
2022022406,0.08,0.02,0.05,0.04,0.19
2022022412,0.09,0.02,0.04,0.06,0.21
2022022418,0.11,0.02,0.04,0.06,0.23
2022022500,0.09,0.02,0.05,0.04,0.21
2022022506,0.14,0.04,0.06,0.06,0.31
2022022512,0.16,0.03,0.06,0.06,0.31
2022022518,0.13,0.02,0.04,0.05,0.24
2022022600,0.12,0.01,0.03,0.05,0.21
2022022606,0.12,0.01,0.03,0.06,0.22
2022022612,0.1,0.01,0.02,0.06,0.19
2022022618,0.09,0.01,0.02,0.06,0.18
2022022700,0.1,0.01,0.02,0.05,0.18
2022022706,0.11,0.05,0.03,0.04,0.24
2022022712,0.16,0.03,0.03,0.04,0.27
2022022718,0.15,0.01,0.02,0.03,0.21
2022022800,0.09,0.01,0.01,0.01,0.13
2022022806,0.05,0.02,0.01,0.01,0.09
2022022812,0.04,0.02,0.01,0.01,0.08
2022022818,0.04,0.02,0.01,0.01,0.08
2022030100,0.03,0.02,0.01,0.01,0.06
2022030106,0.03,0.02,0.01,0.01,0.07
2022030112,0.03,0.02,0.01,0.01,0.06
2022030118,0.04,0.03,0.01,0.01,0.09
2022030200,0.04,0.03,0.01,0.01,0.09
2022030206,0.04,0.03,0.02,0.01,0.09
2022030212,0.05,0.02,0.02,0.01,0.1
2022030218,0.08,0.03,0.02,0.02,0.15
2022030300,0.07,0.03,0.03,0.02,0.14
2022030306,0.09,0.02,0.03,0.02,0.15
2022030312,0.11,0.02,0.03,0.03,0.18
2022030318,0.11,0.01,0.03,0.03,0.18
2022030400,0.11,0.01,0.03,0.03,0.17
2022030406,0.1,0.01,0.03,0.03,0.16
2022030412,0.07,0.01,0.02,0.02,0.13
2022030418,0.04,0.02,0.02,0.01,0.1
2022030500,0.03,0.02,0.02,0.01,0.08
2022030506,0.04,0.02,0.02,0.01,0.09
2022030512,0.07,0.02,0.03,0.03,0.16
2022030518,0.09,0.02,0.04,0.03,0.18
2022030600,0.09,0.02,0.05,0.03,0.18
2022030606,0.11,0.05,0.06,0.05,0.27
2022030612,0.11,0.04,0.06,0.06,0.27
2022030618,0.14,0.03,0.07,0.06,0.3
2022030700,0.12,0.01,0.08,0.04,0.25
2022030706,0.11,0.01,0.07,0.05,0.25
2022030712,0.11,0.01,0.06,0.06,0.25
2022030718,0.15,0.01,0.05,0.06,0.28
2022030800,0.14,0.01,0.05,0.06,0.26
2022030806,0.16,0.01,0.06,0.06,0.3
2022030812,0.13,0.01,0.06,0.05,0.25
2022030818,0.15,0.01,0.05,0.04,0.25
2022030900,0.12,0.03,0.04,0.02,0.21
2022030906,0.1,0.02,0.03,0.02,0.16
2022030912,0.09,0.02,0.03,0.01,0.15
2022030918,0.15,0.02,0.04,0.02,0.24
2022031000,0.07,0.01,0.02,0.01,0.11
2022031006,0.06,0.01,0.01,0.01,0.1
2022031012,0.11,0.01,0.02,0.02,0.16
2022031018,0.19,0.01,0.04,0.05,0.29
2022031100,0.16,0.01,0.04,0.05,0.26
2022031106,0.14,0.01,0.04,0.05,0.23
2022031112,0.12,0.01,0.04,0.04,0.21
2022031118,0.14,0.01,0.04,0.03,0.22
2022031200,0.08,0.01,0.02,0.01,0.12
2022031206,0.04,0.01,0.02,0.01,0.08
2022031212,0.03,0.02,0.02,0.01,0.08
2022031218,0.02,0.01,0.02,0.01,0.06
2022031300,0.02,0.01,0.01,0.01,0.06
2022031306,0.02,0.01,0.02,0.01,0.06
2022031312,0.04,0.01,0.03,0.02,0.1
2022031318,0.05,0.01,0.04,0.04,0.14
2022031400,0.05,0.01,0.03,0.05,0.14
2022031406,0.05,0.01,0.02,0.06,0.14
2022031412,0.05,0.01,0.02,0.05,0.12
2022031418,0.04,0.01,0.01,0.04,0.1
2022031500,0.03,0.01,0.01,0.04,0.09
2022031506,0.04,0.01,0.01,0.03,0.09
2022031512,0.03,0.02,0.01,0.01,0.07
2022031518,0.03,0.03,0.01,0,0.07
2022031600,0.03,0.03,0.01,0,0.07
2022031606,0.03,0.04,0.01,0,0.08
2022031612,0.03,0.04,0.01,0.01,0.09
2022031618,0.02,0.02,0.01,0,0.06
2022031700,0.03,0.02,0.01,0,0.06
2022031706,0.04,0.02,0.02,0.01,0.08
2022031712,0.08,0.01,0.04,0.03,0.16
2022031718,0.13,0.01,0.05,0.06,0.25
2022031800,0.05,0.01,0.03,0.02,0.11
2022031806,0.07,0.01,0.03,0.03,0.14
2022031812,0.06,0.01,0.02,0.02,0.11
2022031818,0.05,0.03,0.02,0.01,0.11
2022031900,0.04,0.02,0.03,0.01,0.1
2022031906,0.05,0.02,0.03,0.01,0.11
2022031912,0.05,0.02,0.03,0.01,0.11
2022031918,0.08,0.05,0.04,0.01,0.18
2022032000,0.06,0.04,0.03,0.01,0.14
2022032006,0.05,0.03,0.03,0.01,0.11
2022032012,0.05,0.03,0.03,0.01,0.12
2022032018,0.08,0.03,0.06,0.02,0.18
2022032100,0.08,0.01,0.07,0.04,0.2
2022032106,0.13,0.01,0.07,0.09,0.3
2022032112,0.11,0.01,0.07,0.08,0.28
2022032118,0.1,0.02,0.06,0.07,0.25
2022032200,0.08,0.02,0.07,0.05,0.2
2022032206,0.16,0.02,0.15,0.09,0.42
2022032212,0.07,0.02,0.06,0.04,0.19
2022032218,0.04,0.03,0.01,0.01,0.09
2022032300,0.03,0.03,0.01,0,0.08
2022032306,0.03,0.01,0.01,0.01,0.06
2022032312,0.04,0.02,0.01,0.01,0.07
2022032318,0.05,0.03,0.01,0.01,0.1
2022032400,0.04,0.02,0.01,0.01,0.08
2022032406,0.03,0.02,0.01,0.01,0.06
2022032412,0.03,0.02,0.01,0.01,0.07
2022032418,0.04,0.02,0.01,0.01,0.08
2022032500,0.04,0.02,0.01,0.01,0.08
2022032506,0.04,0.02,0.01,0.01,0.07
2022032512,0.03,0.01,0.01,0.01,0.06
2022032518,0.05,0.02,0.02,0.01,0.1
2022032600,0.05,0.02,0.02,0.01,0.09
2022032606,0.05,0.03,0.02,0.01,0.11
2022032612,0.05,0.03,0.02,0.01,0.11
2022032618,0.05,0.03,0.02,0.01,0.11
2022032700,0.04,0.03,0.02,0.01,0.09
2022032706,0.04,0.02,0.01,0.01,0.08
2022032712,0.04,0.02,0.01,0.01,0.09
2022032718,0.05,0.03,0.02,0.01,0.12
2022032800,0.05,0.04,0.02,0.01,0.11
2022032806,0.04,0.04,0.02,0.01,0.11
2022032812,0.04,0.04,0.02,0.02,0.12
2022032818,0.04,0.04,0.03,0.02,0.13
2022032900,0.04,0.03,0.03,0.02,0.13
2022032906,0.07,0.03,0.05,0.04,0.19
2022032912,0.11,0.02,0.09,0.06,0.27
2022032918,0.09,0.02,0.09,0.04,0.24
2022033000,0.08,0.01,0.08,0.04,0.21
2022033006,0.09,0.01,0.07,0.07,0.24
2022033012,0.1,0.01,0.06,0.09,0.26
2022033018,0.05,0.02,0.04,0.02,0.12
2022033100,0.02,0.02,0.01,0.01,0.07
2022033106,0.02,0.02,0.01,0.01,0.07
2022033112,0.04,0.02,0.02,0.01,0.09
2022033118,0.06,0.03,0.04,0.02,0.14
2022040100,0.04,0.02,0.03,0.01,0.1
2022040106,0.06,0.02,0.04,0.02,0.13
2022040112,0.07,0.02,0.05,0.02,0.15
2022040118,0.09,0.02,0.07,0.03,0.22
2022040200,0.08,0.01,0.07,0.04,0.2
2022040206,0.1,0.01,0.06,0.06,0.23
2022040212,0.1,0.01,0.05,0.06,0.22
2022040218,0.13,0.02,0.07,0.06,0.28
2022040300,0.07,0.01,0.05,0.03,0.17
2022040306,0.1,0.02,0.04,0.04,0.19
2022040312,0.1,0.02,0.04,0.03,0.19
2022040318,0.09,0.02,0.05,0.03,0.17
2022040400,0.1,0.01,0.06,0.04,0.21
2022040406,0.14,0.01,0.09,0.05,0.3
2022040412,0.16,0.01,0.12,0.04,0.34
2022040418,0.14,0.01,0.11,0.03,0.29
2022040500,0.12,0.01,0.11,0.02,0.26
2022040506,0.18,0.01,0.15,0.04,0.38
2022040512,0.12,0.01,0.14,0.03,0.3
2022040518,0.12,0.01,0.15,0.02,0.3
2022040600,0.07,0.01,0.1,0.01,0.2
2022040606,0.08,0.01,0.09,0.01,0.2
2022040612,0.08,0.01,0.07,0.01,0.18
2022040618,0.11,0.01,0.11,0.01,0.24
2022040700,0.05,0.03,0.03,0.01,0.11
2022040706,0.03,0.04,0.02,0.01,0.1
2022040712,0.02,0.02,0.01,0.01,0.07
2022040718,0.02,0.01,0.01,0.01,0.06
2022040800,0.03,0.01,0.01,0.01,0.07
2022040806,0.04,0.02,0.02,0.02,0.09
2022040812,0.05,0.02,0.02,0.02,0.11
2022040818,0.05,0.02,0.02,0.02,0.11
2022040900,0.05,0.02,0.03,0.02,0.12
2022040906,0.05,0.02,0.02,0.02,0.11
2022040912,0.05,0.02,0.02,0.02,0.11
2022040918,0.05,0.02,0.03,0.02,0.12
2022041000,0.05,0.02,0.03,0.02,0.12
2022041006,0.07,0.02,0.06,0.03,0.18
2022041012,0.08,0.02,0.08,0.05,0.22
2022041018,0.08,0.02,0.08,0.05,0.23
2022041100,0.09,0.02,0.08,0.06,0.24
2022041106,0.1,0.02,0.09,0.06,0.26
2022041112,0.12,0.02,0.1,0.06,0.3
2022041118,0.11,0.02,0.1,0.06,0.29
2022041200,0.09,0.02,0.09,0.04,0.24
2022041206,0.11,0.01,0.1,0.07,0.29
2022041212,0.11,0.01,0.08,0.06,0.26
2022041218,0.08,0.01,0.06,0.03,0.18
2022041300,0.08,0.02,0.06,0.03,0.19
2022041306,0.11,0.02,0.06,0.06,0.25
2022041312,0.1,0.02,0.05,0.06,0.23
2022041318,0.06,0.01,0.05,0.03,0.16
2022041400,0.05,0.01,0.03,0.02,0.11
2022041406,0.05,0.01,0.03,0.03,0.12
2022041412,0.06,0.01,0.03,0.04,0.15
2022041418,0.12,0.02,0.07,0.09,0.29
2022041500,0.11,0.01,0.05,0.09,0.26
2022041506,0.13,0.01,0.06,0.1,0.3
2022041512,0.19,0.01,0.1,0.1,0.4
2022041518,0.21,0.01,0.13,0.07,0.42
2022041600,0.13,0.01,0.1,0.05,0.29
2022041606,0.11,0.01,0.1,0.05,0.27
2022041612,0.15,0.01,0.14,0.05,0.35
2022041618,0.14,0.01,0.14,0.05,0.34
2022041700,0.12,0.01,0.11,0.04,0.29
2022041706,0.11,0.01,0.1,0.05,0.28
2022041712,0.12,0.02,0.12,0.05,0.31
2022041718,0.12,0.02,0.12,0.04,0.29
2022041800,0.1,0.02,0.09,0.03,0.23
2022041806,0.11,0.03,0.08,0.03,0.26
2022041812,0.12,0.03,0.07,0.04,0.26
2022041818,0.09,0.03,0.05,0.02,0.18
2022041900,0.1,0.03,0.04,0.02,0.19
2022041906,0.14,0.02,0.05,0.04,0.24
2022041912,0.17,0.02,0.05,0.05,0.3
2022041918,0.2,0.02,0.05,0.07,0.35
2022042000,0.14,0.01,0.04,0.07,0.27
2022042006,0.12,0.01,0.04,0.07,0.24
2022042012,0.12,0.01,0.05,0.07,0.25
2022042018,0.12,0.01,0.05,0.06,0.25
2022042100,0.09,0.01,0.07,0.04,0.21
2022042106,0.08,0.01,0.14,0.05,0.28
2022042112,0.11,0.01,0.23,0.06,0.41
2022042118,0.14,0.01,0.26,0.06,0.47
2022042200,0.15,0.02,0.22,0.05,0.44
2022042206,0.15,0.02,0.18,0.06,0.41
2022042212,0.13,0.02,0.12,0.06,0.32
2022042218,0.08,0.02,0.07,0.04,0.2
2022042300,0.08,0.02,0.03,0.06,0.19
2022042306,0.09,0.02,0.03,0.08,0.22
2022042312,0.08,0.01,0.04,0.08,0.22
2022042318,0.07,0.01,0.05,0.07,0.21
2022042400,0.06,0.02,0.05,0.05,0.18
2022042406,0.08,0.02,0.07,0.07,0.24
2022042412,0.09,0.01,0.09,0.08,0.27
2022042418,0.06,0.01,0.06,0.04,0.17
2022042500,0.06,0.01,0.08,0.05,0.2
2022042506,0.08,0.01,0.1,0.06,0.25
2022042512,0.08,0.01,0.07,0.06,0.22
2022042518,0.11,0.02,0.07,0.08,0.28
2022042600,0.1,0.01,0.06,0.1,0.27
2022042606,0.16,0.01,0.08,0.11,0.36
2022042612,0.15,0.01,0.08,0.09,0.34
2022042618,0.19,0.02,0.07,0.1,0.37
2022042700,0.13,0.01,0.05,0.07,0.27
2022042706,0.13,0.01,0.04,0.07,0.25
2022042712,0.1,0.02,0.03,0.05,0.19
2022042718,0.09,0.01,0.02,0.05,0.17
2022042800,0.06,0.01,0.02,0.03,0.12
2022042806,0.07,0.01,0.02,0.04,0.14
2022042812,0.06,0.01,0.02,0.04,0.13
2022042818,0.06,0.02,0.02,0.04,0.14
2022042900,0.05,0.02,0.02,0.03,0.13
2022042906,0.07,0.02,0.03,0.05,0.17
2022042912,0.06,0.02,0.03,0.04,0.16
2022042918,0.07,0.02,0.03,0.05,0.17
2022043000,0.07,0.02,0.04,0.04,0.18
2022043006,0.08,0.02,0.06,0.04,0.2
2022043012,0.1,0.02,0.06,0.04,0.22
2022043018,0.1,0.02,0.06,0.03,0.22
2022050100,0.1,0.02,0.06,0.03,0.21
2022050106,0.11,0.02,0.06,0.04,0.23
2022050112,0.21,0.01,0.08,0.05,0.36
2022050118,0.13,0.01,0.06,0.03,0.24
2022050200,0.1,0.01,0.07,0.03,0.22
2022050206,0.18,0.02,0.11,0.05,0.36
2022050212,0.11,0.01,0.09,0.03,0.25
2022050218,0.15,0.01,0.1,0.05,0.31
2022050300,0.16,0.01,0.11,0.07,0.35
2022050306,0.14,0.01,0.09,0.06,0.3
2022050312,0.12,0.01,0.08,0.05,0.26
2022050318,0.09,0.01,0.08,0.03,0.21
2022050400,0.1,0.01,0.08,0.04,0.24
2022050406,0.14,0.01,0.12,0.05,0.32
2022050412,0.11,0.01,0.15,0.03,0.31
2022050418,0.1,0.01,0.12,0.03,0.26
2022050500,0.11,0.01,0.13,0.04,0.29
2022050506,0.17,0.01,0.21,0.06,0.46
2022050512,0.18,0.01,0.24,0.07,0.49
2022050518,0.14,0.02,0.2,0.05,0.41
2022050600,0.1,0.01,0.13,0.03,0.27
2022050606,0.12,0.01,0.15,0.03,0.31
2022050612,0.16,0.02,0.2,0.04,0.41
2022050618,0.15,0.02,0.22,0.04,0.43
2022050700,0.11,0.02,0.18,0.02,0.33
2022050706,0.11,0.02,0.15,0.02,0.31
2022050712,0.11,0.02,0.16,0.02,0.31
2022050718,0.12,0.02,0.2,0.02,0.36
2022050800,0.08,0.02,0.16,0.01,0.27
2022050806,0.1,0.02,0.14,0.02,0.27
2022050812,0.1,0.02,0.15,0.02,0.28
2022050818,0.1,0.02,0.17,0.02,0.3
2022050900,0.11,0.01,0.2,0.02,0.34
2022050906,0.14,0.01,0.26,0.04,0.46
2022050912,0.11,0.01,0.24,0.03,0.4
2022050918,0.11,0.01,0.24,0.03,0.39
2022051000,0.12,0.01,0.25,0.03,0.42
2022051006,0.14,0.01,0.28,0.05,0.49
2022051012,0.13,0.01,0.22,0.05,0.41
2022051018,0.1,0.02,0.14,0.04,0.29
2022051100,0.07,0.02,0.08,0.03,0.2
2022051106,0.08,0.02,0.07,0.04,0.21
2022051112,0.08,0.02,0.07,0.04,0.21
2022051118,0.06,0.02,0.07,0.02,0.17
2022051200,0.08,0.02,0.07,0.02,0.18
2022051206,0.09,0.02,0.06,0.03,0.19
2022051212,0.08,0.02,0.06,0.03,0.18
2022051218,0.08,0.02,0.05,0.02,0.16
2022051300,0.05,0.01,0.04,0.01,0.12
2022051306,0.06,0.01,0.04,0.02,0.13
2022051312,0.04,0.01,0.04,0.01,0.1
2022051318,0.07,0.02,0.06,0.02,0.18
2022051400,0.06,0.02,0.07,0.02,0.18
2022051406,0.07,0.01,0.08,0.03,0.19
2022051412,0.06,0.02,0.07,0.02,0.17
2022051418,0.08,0.03,0.09,0.02,0.22
2022051500,0.06,0.03,0.07,0.02,0.17
2022051506,0.08,0.02,0.07,0.02,0.19
2022051512,0.07,0.02,0.07,0.01,0.18
2022051518,0.11,0.05,0.14,0.02,0.33
2022051600,0.08,0.04,0.12,0.02,0.26
2022051606,0.09,0.03,0.11,0.02,0.24
2022051612,0.08,0.03,0.11,0.02,0.23
2022051618,0.06,0.02,0.1,0.01,0.19
2022051700,0.07,0.02,0.1,0.01,0.2
2022051706,0.08,0.02,0.09,0.02,0.21
2022051712,0.07,0.02,0.09,0.01,0.19
2022051718,0.06,0.01,0.08,0.01,0.17
2022051800,0.05,0.01,0.06,0.01,0.14
2022051806,0.08,0.01,0.07,0.02,0.19
2022051812,0.07,0.02,0.07,0.02,0.18
2022051818,0.09,0.02,0.11,0.02,0.25
2022051900,0.09,0.02,0.11,0.02,0.24
2022051906,0.1,0.02,0.12,0.03,0.27
2022051912,0.1,0.02,0.15,0.02,0.29
2022051918,0.1,0.02,0.17,0.02,0.31
2022052000,0.1,0.02,0.18,0.02,0.33
2022052006,0.13,0.02,0.24,0.03,0.42
2022052012,0.13,0.03,0.29,0.03,0.47
2022052018,0.15,0.02,0.31,0.03,0.51
2022052100,0.16,0.03,0.32,0.03,0.54
2022052106,0.16,0.02,0.33,0.04,0.55
2022052112,0.13,0.02,0.27,0.03,0.45
2022052118,0.14,0.02,0.28,0.03,0.47
2022052200,0.15,0.02,0.34,0.03,0.54
2022052206,0.16,0.03,0.38,0.04,0.62
2022052212,0.14,0.04,0.28,0.05,0.51
2022052218,0.17,0.05,0.22,0.05,0.48
2022052300,0.1,0.05,0.15,0.03,0.33
2022052306,0.13,0.04,0.14,0.05,0.36
2022052312,0.11,0.05,0.12,0.04,0.31
2022052318,0.11,0.04,0.09,0.03,0.28
2022052400,0.12,0.04,0.13,0.04,0.33
2022052406,0.14,0.04,0.16,0.05,0.38
2022052412,0.1,0.05,0.19,0.03,0.37
2022052418,0.11,0.06,0.17,0.03,0.36
2022052500,0.1,0.09,0.16,0.03,0.39
2022052506,0.14,0.07,0.19,0.05,0.44
2022052512,0.09,0.06,0.1,0.03,0.27
2022052518,0.09,0.05,0.08,0.03,0.26
2022052600,0.14,0.05,0.11,0.03,0.33
2022052606,0.11,0.03,0.07,0.02,0.24
2022052612,0.08,0.03,0.05,0.01,0.18
2022052618,0.05,0.02,0.05,0.01,0.13
2022052700,0.05,0.02,0.07,0.01,0.16
2022052706,0.06,0.03,0.07,0.01,0.18
2022052712,0.07,0.03,0.06,0.02,0.18
2022052718,0.05,0.04,0.05,0.01,0.15
2022052800,0.05,0.03,0.05,0.01,0.15
2022052806,0.06,0.03,0.04,0.01,0.15
2022052812,0.09,0.04,0.05,0.02,0.19
2022052818,0.06,0.03,0.04,0.01,0.15
2022052900,0.05,0.04,0.04,0.01,0.13
2022052906,0.06,0.04,0.04,0.02,0.15
2022052912,0.07,0.04,0.05,0.03,0.18
2022052918,0.05,0.04,0.03,0.02,0.15
2022053000,0.05,0.04,0.03,0.02,0.14
2022053006,0.07,0.04,0.03,0.04,0.17
2022053012,0.08,0.03,0.04,0.06,0.21
2022053018,0.06,0.03,0.04,0.03,0.16
2022053100,0.06,0.03,0.03,0.03,0.15
2022053106,0.08,0.03,0.03,0.04,0.19
2022053112,0.08,0.03,0.02,0.05,0.18
2022053118,0.07,0.04,0.02,0.04,0.16
2022060100,0.05,0.03,0.01,0.03,0.13
2022060106,0.06,0.03,0.01,0.05,0.14
2022060112,0.07,0.02,0.01,0.05,0.15
2022060118,0.08,0.04,0.01,0.05,0.18
2022060200,0.05,0.04,0.01,0.03,0.13
2022060206,0.04,0.03,0.01,0.02,0.11
2022060212,0.04,0.03,0.01,0.02,0.1
2022060218,0.03,0.02,0.01,0.01,0.08
2022060300,0.03,0.02,0.01,0.01,0.07
2022060306,0.03,0.02,0.02,0.01,0.08
2022060312,0.05,0.02,0.03,0.01,0.1
2022060318,0.06,0.02,0.03,0.01,0.12
2022060400,0.07,0.02,0.03,0.01,0.12
2022060406,0.09,0.02,0.03,0.01,0.16
2022060412,0.12,0.02,0.03,0.01,0.18
2022060418,0.07,0.02,0.02,0.01,0.12
2022060500,0.07,0.03,0.03,0.01,0.13
2022060506,0.07,0.03,0.02,0.01,0.13
2022060512,0.06,0.03,0.02,0.01,0.12
2022060518,0.09,0.05,0.04,0.01,0.19
2022060600,0.07,0.05,0.04,0.01,0.17
2022060606,0.07,0.06,0.04,0.02,0.19
2022060612,0.07,0.05,0.04,0.02,0.17
2022060618,0.06,0.06,0.04,0.02,0.18
2022060700,0.05,0.06,0.03,0.02,0.16
2022060706,0.07,0.05,0.03,0.03,0.18
2022060712,0.07,0.05,0.03,0.02,0.17
2022060718,0.09,0.06,0.04,0.02,0.21
2022060800,0.09,0.05,0.04,0.02,0.21
2022060806,0.12,0.05,0.04,0.03,0.23
2022060812,0.11,0.04,0.03,0.02,0.21
2022060818,0.13,0.04,0.04,0.02,0.23
2022060900,0.09,0.04,0.03,0.02,0.17
2022060906,0.11,0.03,0.03,0.02,0.19
2022060912,0.11,0.03,0.03,0.03,0.2
2022060918,0.09,0.03,0.03,0.02,0.17
2022061000,0.07,0.03,0.02,0.02,0.14
2022061006,0.07,0.03,0.02,0.02,0.14
2022061012,0.07,0.03,0.02,0.02,0.14
2022061018,0.08,0.05,0.03,0.02,0.18
2022061100,0.06,0.04,0.03,0.02,0.15
2022061106,0.06,0.04,0.02,0.02,0.14
2022061112,0.06,0.04,0.02,0.02,0.14
2022061118,0.03,0.03,0.01,0.01,0.08
2022061200,0.04,0.04,0.02,0.01,0.11
2022061206,0.07,0.07,0.02,0.02,0.18
2022061212,0.12,0.08,0.04,0.03,0.26
2022061218,0.1,0.1,0.04,0.02,0.27
2022061300,0.1,0.12,0.04,0.02,0.28
2022061306,0.12,0.1,0.03,0.03,0.29
2022061312,0.09,0.08,0.03,0.02,0.22
2022061318,0.12,0.12,0.04,0.03,0.3
2022061400,0.1,0.12,0.03,0.03,0.28
2022061406,0.14,0.15,0.04,0.03,0.36
2022061412,0.13,0.18,0.05,0.03,0.39
2022061418,0.12,0.17,0.04,0.03,0.36
2022061500,0.13,0.14,0.03,0.04,0.34
2022061506,0.11,0.12,0.03,0.05,0.31
2022061512,0.1,0.12,0.02,0.05,0.29
2022061518,0.1,0.17,0.02,0.04,0.33
2022061600,0.09,0.18,0.02,0.03,0.32
2022061606,0.12,0.19,0.03,0.04,0.39
2022061612,0.11,0.21,0.03,0.03,0.38
2022061618,0.13,0.23,0.04,0.03,0.43
2022061700,0.12,0.2,0.03,0.02,0.37
2022061706,0.11,0.15,0.03,0.02,0.3
2022061712,0.13,0.12,0.03,0.02,0.3
2022061718,0.08,0.07,0.02,0.01,0.18
2022061800,0.05,0.06,0.01,0.01,0.13
2022061806,0.07,0.05,0.01,0.01,0.15
2022061812,0.1,0.05,0.01,0.02,0.18
2022061818,0.08,0.04,0.01,0.02,0.15
2022061900,0.05,0.04,0.01,0.01,0.11
2022061906,0.06,0.03,0.01,0.01,0.11
2022061912,0.07,0.03,0.01,0.01,0.12
2022061918,0.04,0.02,0.01,0.01,0.07
2022062000,0.04,0.02,0.01,0,0.08
2022062006,0.06,0.02,0.01,0,0.1
2022062012,0.09,0.02,0.02,0.01,0.14
2022062018,0.08,0.02,0.02,0,0.13
