date,copies_mL,site
2022-07-07,0.045559246135279535,RD
2022-07-09,0.04869946481893596,RD
2022-07-14,0.07491852498852404,RD
2022-07-19,0.08929093329062243,RD
2022-07-07,0.1980166130802049,RD
2022-07-12,0.20878122456699413,RD
2022-07-17,0.21761224990231282,RD
2022-07-13,0.22214919575502637,RD
2022-07-17,0.24044673934079358,RD
2022-07-17,0.2660253177538261,RD
2022-07-15,0.35802080525524754,RD
2022-07-15,0.3653600981775153,RD
2022-07-15,0.4669891579667692,RD
2022-07-12,0.5200356430313018,RD
2022-07-14,0.5745403870235144,RD
2022-07-18,0.5868577162433504,RD
2022-07-12,0.7729807423932592,RD
2022-07-07,0.9085668368238358,RD
2022-07-14,0.9191901969328625,RD
2022-07-16,0.9364810343401586,RD
2022-07-16,1.0488890360591054,RD
2022-07-16,1.1058947995484467,RD
2022-07-19,1.6198707901253193,RD
2022-07-13,2.2214622183179626,RD
2022-07-13,2.4511773722309345,RD
2022-07-08,3.541666666666667,RD
2022-07-08,3.541666666666667,RD
2022-07-08,3.541666666666667,RD
2022-07-09,3.541666666666667,RD
2022-07-09,3.541666666666667,RD
2022-07-11,3.541666666666667,RD
2022-07-11,3.541666666666667,RD
2022-07-11,3.541666666666667,RD
2022-07-18,3.541666666666667,RD
2022-07-18,3.541666666666667,RD
2022-07-19,3.541666666666667,RD
2022-07-07,3.541666666666667,BO
2022-07-07,3.541666666666667,BO
2022-07-07,0.08364183990336897,BO
2022-07-14,1.9502840834105515,BO
2022-07-14,7.083333333333334,BO
2022-07-14,7.083333333333334,BO
2022-07-07,3.541666666666667,C2
2022-07-07,0.020799428599907004,C2
2022-07-07,3.541666666666667,C2
2022-07-14,3.541666666666667,C2
2022-07-14,3.541666666666667,C2
2022-07-14,8.481218230926512,C2
2022-07-08,3.541666666666667,BO
2022-07-08,0.47022291741281164,BO
2022-07-08,3.541666666666667,BO
2022-07-15,7.083333333333334,BO
2022-07-15,7.083333333333334,BO
2022-07-15,7.083333333333334,BO
2022-07-08,3.541666666666667,C2
2022-07-08,3.541666666666667,C2
2022-07-08,3.541666666666667,C2
2022-07-15,3.541666666666667,C2
2022-07-15,3.541666666666667,C2
2022-07-15,3.541666666666667,C2
2022-07-09,3.541666666666667,BO
2022-07-09,3.541666666666667,BO
2022-07-09,3.541666666666667,BO
2022-07-16,11.805555555555557,BO
2022-07-16,11.805555555555557,BO
2022-07-16,0.1280753128587816,BO
2022-07-09,9.68475231908302,C2
2022-07-09,3.541666666666667,C2
2022-07-09,3.541666666666667,C2
2022-07-16,1.320146772948882,C2
2022-07-16,3.541666666666667,C2
2022-07-16,0.926247978879075,C2
2022-07-11,3.541666666666667,BO
2022-07-11,3.541666666666667,BO
2022-07-11,3.541666666666667,BO
2022-07-17,11.805555555555557,BO
2022-07-17,11.805555555555557,BO
2022-07-17,11.805555555555557,BO
2022-07-11,1.3791201661796406,C2
2022-07-11,41.87907809474864,C2
2022-07-11,3.541666666666667,C2
2022-07-17,3.541666666666667,C2
2022-07-17,0.5123964589552148,C2
2022-07-17,0.9750672465079568,C2
2022-07-12,7.083333333333334,BO
2022-07-12,7.083333333333334,BO
2022-07-12,7.083333333333334,BO
2022-07-18,11.805555555555557,BO
2022-07-18,11.805555555555557,BO
2022-07-18,11.805555555555557,BO
2022-07-12,0.8286413643677869,C2
2022-07-12,3.541666666666667,C2
2022-07-12,3.541666666666667,C2
2022-07-18,3.541666666666667,C2
2022-07-18,3.541666666666667,C2
2022-07-18,8.195571423680244,C2
2022-07-13,7.083333333333334,BO
2022-07-13,7.083333333333334,BO
2022-07-13,7.083333333333334,BO
2022-07-19,11.805555555555557,BO
2022-07-19,11.805555555555557,BO
2022-07-19,3.0501534890627626,BO
2022-07-13,0.7730436739799272,C2
2022-07-13,3.541666666666667,C2
2022-07-13,3.541666666666667,C2
2022-07-19,0.22203867266176985,C2
2022-07-19,1.2600128770278844,C2
2022-07-19,0.2920970773536183,C2
