,Well,Fluor,Target,Content,Sample,Cq,SQ
,K10,SYBR,,Unkn,C2_5_24,NaN,NaN
,K11,SYBR,,Unkn,C2_5_24,NaN,NaN
,K17,SYBR,,Unkn,RD_5_24,NaN,NaN
,K18,SYBR,,Unkn,RD_5_24,NaN,NaN
,K19,SYBR,,Unkn,RD_5_24,NaN,NaN
,K21,SYBR,,Unkn,RD_12,NaN,NaN
,K22,SYBR,,Unkn,RD_12,NaN,NaN
,P22,SYBR,,NTC,NTC,NaN,NaN
,P23,SYBR,,NTC,NTC,NaN,NaN
,P24,SYBR,,NTC,NTC,NaN,NaN
