Sample,Cq,log(SQ),SQ (copies / 킠 / well),SQ Including any dilution (copies/킠/well),Copies per assay,Fill in 50%LOD for NA,Back to copies/킠/well,DNA Elutant Volume (킠),Filter Amount,Concentration Factor (킠/mL),Copies/mL,,,Dilution Factor,,,
C2_13,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55,0.458333333,100,100,1,0.458333333,,,,,,
C2_14,36.00132694,0.47071665,2.956083176,2.956083176,3.547299811,3.547299811,2.956083176,100,100,1,2.956083176,,,,,,
C2_14,37.16606663,0.129050563,1.346017056,1.346017056,1.615220467,1.615220467,1.346017056,100,100,1,1.346017056,,,,,,
C2_14,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55,0.458333333,100,100,1,0.458333333,,,,,,
C2_15,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55,0.458333333,100,100,1,0.458333333,,,,,,
C2_15,37.39962079,0.060539516,1.149580839,1.149580839,1.379497006,1.379497006,1.149580839,100,100,1,1.149580839,,,,,,
C2_15,37.40489996,0.058990919,1.145488988,1.145488988,1.374586786,1.374586786,1.145488988,100,100,1,1.145488988,,,,,,
C2_16,34.5165875,0.906251834,8.058455903,8.058455903,9.670147083,9.670147083,8.058455903,100,100,1,8.058455903,,,,,,
C2_16,35.68021074,0.564913248,3.672089418,3.672089418,4.406507302,4.406507302,3.672089418,100,100,1,3.672089418,,,,,,
C2_16,37.44449563,0.047375878,1.115259363,1.115259363,1.338311236,1.338311236,1.115259363,100,100,1,1.115259363,,,,,,
C2_17,37.09433478,0.150092467,1.412838324,1.412838324,1.695405989,1.695405989,1.412838324,100,100,1,1.412838324,,,,,,
C2_17,34.86066147,0.805320776,6.38735091,6.38735091,7.664821092,7.664821092,6.38735091,100,100,1,6.38735091,,,,,,
C2_17,34.20436687,0.997838994,9.950364591,9.950364591,11.94043751,11.94043751,9.950364591,100,100,1,9.950364591,,,,,,
C2_18,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55,0.458333333,100,100,1,0.458333333,,,,,,
C2_18,37.89383736,-0.084434545,0.823313914,0.823313914,0.987976696,0.987976696,0.823313914,100,100,1,0.823313914,,,,,,
C2_18,34.71735137,0.847359529,7.036545961,7.036545961,8.443855153,8.443855153,7.036545961,100,100,1,7.036545961,,,,,,
C2_19,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55,0.458333333,100,100,1,0.458333333,,,,,,
C2_19,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55,0.458333333,100,100,1,0.458333333,,,,,,
C2_19,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55,0.458333333,100,100,1,0.458333333,,,,,,
C2_7,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55,0.458333333,100,100,1,0.458333333,,,,,,
C2_7,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55,0.458333333,100,100,1,0.458333333,,,,,,
C2_7,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55,0.458333333,100,100,1,0.458333333,,,,,,
C2_8,36.36604665,0.363729348,2.310624363,2.310624363,2.772749235,2.772749235,2.310624363,100,100,1,2.310624363,,,,,,
C2_8,33.53072955,1.195444544,15.68355617,15.68355617,18.82026741,18.82026741,15.68355617,100,100,1,15.68355617,,,,,,
C2_8,36.14021757,0.429974311,2.691375602,2.691375602,3.229650723,3.229650723,2.691375602,100,100,1,2.691375602,,,,,,
C2_9,35.48960498,0.620825761,4.176627665,4.176627665,5.011953199,5.011953199,4.176627665,100,100,1,4.176627665,,,,,,
C2_9,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55,0.458333333,100,100,1,0.458333333,,,,,,
C2_9,37.04084381,0.165783571,1.464817672,1.464817672,1.757781206,1.757781206,1.464817672,100,100,1,1.464817672,,,,,,
NTC,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55,0.458333333,100,100,1,0.458333333,,,,,,
NTC,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55,0.458333333,100,100,1,0.458333333,,,,,,
NTC,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55,0.458333333,100,100,1,0.458333333,,,,,,
Pos,23.55811072,4.120824078,13207.60517,13207.60517,15849.12621,15849.12621,13207.60517,100,100,1,13207.60517,,,,,,
Pos,23.54757715,4.123914008,13301.91009,13301.91009,15962.29211,15962.29211,13301.91009,100,100,1,13301.91009,,,,,,
Pos,23.23171593,4.216569101,16465.27927,16465.27927,19758.33513,19758.33513,16465.27927,100,100,1,16465.27927,,,,,,
RD_11,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55,0.458333333,100,100,1,0.458333333,,,,,,
RD_11,35.5740614,0.596051219,3.945038253,3.945038253,4.734045904,4.734045904,3.945038253,100,100,1,3.945038253,,,,,,
RD_11,36.58924542,0.298255964,1.987265827,1.987265827,2.384718992,2.384718992,1.987265827,100,100,1,1.987265827,,,,,,
RD_12,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55,0.458333333,100,100,1,0.458333333,,,,,,
RD_12,37.09114634,0.151027767,1.415884302,1.415884302,1.699061162,1.699061162,1.415884302,100,100,1,1.415884302,,,,,,
RD_12,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55,0.458333333,100,100,1,0.458333333,,,,,,
RD_13,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55,0.458333333,100,100,1,0.458333333,,,,,,
RD_13,35.55011898,0.603074515,4.00935503,4.00935503,4.811226036,4.811226036,4.00935503,100,100,1,4.00935503,,,,,,
RD_13,35.18325639,0.710690411,5.136773438,5.136773438,6.164128126,6.164128126,5.136773438,100,100,1,5.136773438,,,,,,
RD_14,35.99092866,0.473766893,2.976918146,2.976918146,3.572301775,3.572301775,2.976918146,100,100,1,2.976918146,,,,,,
RD_14,36.40909785,0.35110066,2.244402065,2.244402065,2.693282477,2.693282477,2.244402065,100,100,1,2.244402065,,,,,,
RD_14,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55,0.458333333,100,100,1,0.458333333,,,,,,
RD_15,36.61434691,0.290892665,1.953856504,1.953856504,2.344627804,2.344627804,1.953856504,100,100,1,1.953856504,,,,,,
RD_15,35.85349573,0.514081629,3.266492227,3.266492227,3.919790672,3.919790672,3.266492227,100,100,1,3.266492227,,,,,,
RD_15,34.85396,0.807286595,6.416328569,6.416328569,7.699594283,7.699594283,6.416328569,100,100,1,6.416328569,,,,,,
RD_16,36.48666923,0.328345782,2.12983413,2.12983413,2.555800956,2.555800956,2.12983413,100,100,1,2.12983413,,,,,,
RD_16,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55,0.458333333,100,100,1,0.458333333,,,,,,
RD_16,35.36460063,0.65749468,4.544589706,4.544589706,5.453507648,5.453507648,4.544589706,100,100,1,4.544589706,,,,,,
RD_17,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55,0.458333333,100,100,1,0.458333333,,,,,,
RD_17,36.14518351,0.428517597,2.68236329,2.68236329,3.218835948,3.218835948,2.68236329,100,100,1,2.68236329,,,,,,
RD_17,36.21197655,0.408924451,2.564037962,2.564037962,3.076845554,3.076845554,2.564037962,100,100,1,2.564037962,,,,,,
RD_18,43.68047714,-1.781894144,0.016523645,0.016523645,0.019828374,0.019828374,0.016523645,100,100,1,0.016523645,,,,,,
RD_18,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55,0.458333333,100,100,1,0.458333333,,,,,,
